Inventory ID,Description, Level-3 
PLY-CON-225,64/65 Plymouth B-Body Automatic Shifter Slide Insert ABS Plastic, $ 9.10 
PLY-CON-250,66/70 Satellite & Belvedere 4-Speed Cover Molded ABS Plastic, $ 56.80 
PLY-CON-252,66/70 Satellite & Belvedere 4 Speed Console Mounting Brackets 3 Pc Pre-Bent Stainless Steel, $ 60.70 
PLY-CON-400,67/69 Valiant Automatic Console Kit DiNOC Gunstock Vinyl 2pc, $ 22.80 
PLY-DBD-100,39 Plymouth 4 Door Sedan Rear ¼ Trim Tan Doorboard 2pc, $ 28.80 
PLY-DBD-105,39 Plymouth 4 Door Sedan Pillar Post Hardboard 2pc, $ 16.60 
PLY-DBD-110,39 Plymouth 4 Door Sedan Door Boards 4pc, $ 57.60 
PLY-DBD-130,40 Plymouth  P-10 4 Door Sedan Door Boards 4pc, $ 56.70 
PLY-DBD-180,46/48 Plymouth P-15  2 Door Sedan / Coupe-Convertible Door Boards 2pc, $ 45.50 
PLY-DBD-181,46/48 Plymouth P-15 Coupe  Rear Quarter Boards 2pc, $ 42.80 
PLY-DBD-182,46/48 Plymouth P-15  2 Door Sedan Rear Quarter Boards 2pc, $ 42.70 
PLY-DBD-185,46/48 Plymouth P-15 4 Door Sedan Door Boards 4pc, $ 60.60 
PLY-DBD-195,49 Plymouth P-18 2 Door Sedan Door & ¼  Boards 4pc, $ 65.80 
PLY-DBD-198,49/50 Plymouth 4 Door Sedan Door Boards 4pc, $ 60.20 
PLY-DBD-205,51/52 Plymouth 2 Door Sedan Door Boards 2pc, $ 37.00 
PLY-DBD-210,51/52 Plymouth 4 Door Sedan Door Boards 4pc, $ 57.30 
PLY-DBD-245,53/54 Plymouth 4 Door Sedan Door Board Set 6pc, $ 71.40 
PLY-DBD-270,55/56 Plymouth 2 Door Sedan Door & ¼  Boards 4pc, $ 68.10 
PLY-DBD-340,63/66 Valiant 4 Door Sedan Door Boards 4pc, $ 51.00 
PLY-DBD-400,68/70 Satellite & Belvedere 4 Door Sedan Door Boards 4pc, $ 52.60 
PLY-DBD-500,76/80 Plymouth Volare 2 Door Coupe Door Boards 2pc, $ 34.20 
PLY-FAS-005,34/64 Plymouth Glove Box Screw Kit 6pc, $ 2.10 
PLY-FAS-010,34/64 Plymouth Glove Box Screw Kit 10pc, $ 2.50 
PLY-FCV-005,34/90 Plymouth Fender Cover, $ 18.10 
PLY-FWP-040,37/38 Plymouth P-6 Firewall Pad Saddle Panelboard, $ 51.90 
PLY-FWP-050,49/50 Plymouth Firewall Pad, $ 49.80 
PLY-FWP-057,55/56 Plymouth Firewall Pad, $ 37.30 
PLY-FWP-065,60 Plymouth Firewall Pad, $ 46.00 
PLY-FWP-070,62 Valiant Firewall Pad 2pc, $ 43.40 
PLY-FWP-075,62/65 B-Body Heater Delete Firewall Pad Section, $ 22.50 
PLY-FWP-080,63/65 Belvedere Firewall Pad 3pc w/Clips, $ 33.40 
PLY-FWP-085,63/66 Valiant Firewall Pad Non-Air 2pc w/Clips, $ 36.30 
PLY-FWP-090,63/66 Valiant Firewall Pad w/Air 6pc w/Clips, $ 38.10 
PLY-FWP-110,76/80 Plymouth Volare Firewall Pad w/Clips, $ 39.60 
PLY-GBX-020,34 Plymouth Glove Box, $ 18.70 
PLY-GBX-022,35 Plymouth Glove Box Tan Felt, $ 18.70 
PLY-GBX-025,36 Plymouth Glove Box, $ 18.70 
PLY-GBX-030,37 Plymouth P-4 Glove Box Tan Felt, $ 30.20 
PLY-GBX-035,38 Plymouth P-6 Glove Box Tan Felt, $ 30.20 
PLY-GBX-040,39 Plymouth Glove Box Tan Felt, $ 30.20 
PLY-GBX-045,40 Plymouth Glove Box Tan Felt, $ 30.20 
PLY-GBX-050,41/48 Plymouth Glove Box, $ 21.00 
PLY-GBX-052,41/48 Plymouth Glove Box (Tan Felt Lined), $ 30.90 
PLY-GBX-055,49/50 Plymouth Glove Box, $ 21.00 
PLY-GBX-060,49/50 Plymouth Glove Box w/Aftermarket Air, $ 21.00 
PLY-GBX-065,51/52 Plymouth Glove Box, $ 21.00 
PLY-GBX-070,53/54 Plymouth Glove Box, $ 21.00 
PLY-GBX-075,55/56 Plymouth Glove Box, $ 21.00 
PLY-GBX-080,57/58 Plymouth Glove Box, $ 21.00 
PLY-GBX-082,59 Plymouth Glove Box, $ 21.00 
PLY-GBX-085,60/62 Plymouth Valiant Glove Box Grey Felt w/Binding, $ 22.90 
PLY-GBX-090,63 Belvedere Glove Box Gray Felt w/Binding, $ 24.20 
PLY-GBX-095,63/66 Valiant Glove Box, $ 15.50 
PLY-GBX-100,64 Belvedere Glove Box, $ 16.20 
PLY-GBX-105,64 Belvedere Glove Box w/Air, $ 15.90 
PLY-GBX-110,65 Belvedere & Satellite Glove Box, $ 16.20 
PLY-GSK-130,49/50 Plymouth Steering Column Gasket 1Pc, $ 9.80 
PLY-GSK-740,71 Valiant Outside Door Mirror Gasket 1Pc, $ 8.40 
PLY-GTI-110,62/65 Plymouth Fuel Tank Pad, $ 19.40 
PLY-GTI-115,62/65 Plymouth Fuel Tank Pad Tar Felt Material Waffled, $ 13.00 
PLY-GTI-150,76/80 Volare Fuel Tank Pad, $ 16.40 
PLY-GTS-070,62/65 Plymouth B-Body Stainless Steel Gas Tank Strap 1ea, $ 51.90 
PLY-GTS-075,66/73 Plymouth C-Body Stainless Steel Gas Tank Straps 2ea, $ 59.80 
PLY-GTS-085,74/77 Plymouth C-Body Stainless Steel Gas Tank Straps 2ea, $ 76.90 
PLY-HIC-025,60/64 Plymouth Hood Insulation Clip Metal, $ 1.50 
PLY-HIC-030,66/71 Plymouth Hood Insulation Clip Metal, $ 1.50 
PLY-HIC-035,72/89 Pack of 22 Plymouth Plastic Hood Insulation Clips, $ 8.00 
PLY-HIC-040,72/89 Plymouth Hood Insulation Clip Plastic, $ 0.50 
PLY-HIN-040,"60/62 Plymouth Valiant Hood Insulation 1""Black", $ 33.10 
PLY-HIN-045,"61 Plymouth Hood Insulation 1"" Black", $ 36.50 
PLY-HIN-048,"62 Plymouth Belvedere & Savoy Hood Insulation 1"" Black", $ 33.50 
PLY-HIN-050,"63/64 Belvedere Hood Insulation ½""", $ 19.70 
PLY-HIN-055,"63/64 Belvedere Hood Insulation 1"" Black", $ 24.70 
PLY-HIN-060,"63 Valiant Hood Insulation 1"" Black", $ 37.30 
PLY-HIN-065,"64/65 Valiant Hood Insulation 1"" Black", $ 34.60 
PLY-HIN-070,"65 Satellite & Belvedere Hood Insulation ½""", $ 24.20 
PLY-HIN-075,"66 Valiant Hood Insulation 1""", $ 33.50 
PLY-HIN-080,"67/76 Valiant Hood Insulation ½""", $ 27.00 
PLY-HIN-110,"76/78 Volare Hood Insulation ½""", $ 27.50 
PLY-HIN-120,"78/90 Plymouth Horizon Hood Insulation ½""", $ 24.30 
PLY-HIN-125,"79/87 Turismo & TC-3 Hood Insulation ½""", $ 25.60 
PLY-HIN-128,"79/80 Plymouth Volare Hood Insulation ½""", $ 27.00 
PLY-HIN-135,"81/89 Plymouth Reliant K Hood Insulation ½""", $ 25.90 
PLY-HLI-210,62 Belvedere Headliner Insulation 4pc, $ 19.30 
PLY-HLI-215,63/65 Satellite & Belvedere Headliner Insulation 4pc, $ 20.20 
PLY-HLI-225,66/67 Belvedere & Satellite Headliner Insulation 3pc, $ 18.20 
PLY-HLI-240,68/70 Belvedere & Satellite Headliner Insulation 3pc, $ 17.80 
