Title,Tag,meta_title,meta_description,product_description,validation_error
Convertible Top Header Rubber Seal,"1960_Chrysler_300, 1960_Chrysler_New Yorker, 1960_Chrysler_Saratoga, 1960_Chrysler_Windsor, 1960_DeSoto_Adventurer, 1960_DeSoto_Fireflite, 1960_Plymouth_Belvedere, 1960_Plymouth_Custom, 1960_Plymouth_Fury, 1960_Plymouth_Savoy, 1961_Chrysler_300,  1961_Chrysler_New Yorker, 1961_Chrysler_Newport, 1961_Chrysler_Windsor, 1961_DeSoto_Adventurer, 1961_Dodge_Dart, 1961_Dodge_Phoenix, 1961_Dodge_Pioneer, 1961_Dodge_Polara, 1961_Dodge_Seneca, 1961_Plymouth_Belvedere, 1961_Plymouth_Fury, 1961_Plymouth_Savoy, 1962_Plymouth_Fury, 1962_Plymouth_Belvedere, 1962_Dodge_Custom 880, 1962_Chrysler_Newport, 1962_Chrysler_New Yorker, 1962_Chrysler_300","Convertible Top Header Rubber Seal for 1960-1962 Chrysler, DeSoto, Dodge & Plymouth | Weatherstripping","Preserve your classic Mopar convertible with our top header seal for 1960-1962 models. Fits Chrysler, DeSoto, Dodge & Plymouth.","<p>Revitalize your classic Mopar convertible with this high-quality Convertible Top Header Rubber Seal, designed to ensure a snug fit and effective weatherproofing for your 1960-1962 Chrysler, DeSoto, Dodge, and Plymouth models.</p><ul><li>Compatible with a wide range of models including Chrysler 300, DeSoto Adventurer, Dodge Dart, and Plymouth Fury.</li><li>Easy to install, providing excellent protection against the elements.</li><li>Durable construction for long-lasting performance.</li></ul>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Convertible Top Header R...outh | Weatherstripping', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
Tail Light Pads,"1934_Plymouth_Deluxe PE Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Standard PG Model, 1935_Plymouth_Deluxe PJ Model, 1935_Plymouth_Model PJ",Tail Light Pads for 1934 - 1935 Plymouth | Exterior Rubber,Protect your classic Mopar with Tail Light Pads. Ideal for 1934-1935 Plymouth Deluxe & Standard models.,"<p>Enhance the durability of your 1934-1935 Plymouth with these high-quality tail light pads. Designed specifically for Deluxe PE, Standard PF, Standard PG, Deluxe PJ, and Model PJ, these pads ensure a snug fit and long-lasting protection. Easily installed, they offer a crucial layer of cushioning to prevent damage and maintain the pristine condition of your tail lights.</p>",
Dimmer Switch Grommet,"1930_MOPAR_Cars, 1931_MOPAR_Cars, 1932_MOPAR_Cars, 1933_MOPAR_Cars, 1933_MOPAR_Trucks, 1934_MOPAR_Cars, 1934_MOPAR_Trucks, 1935_MOPAR_Cars, 1935_MOPAR_Trucks, 1936_MOPAR_Cars, 1936_MOPAR_Trucks, 1937_MOPAR_Cars, 1937_MOPAR_Trucks, 1938_MOPAR_Cars, 1938_MOPAR_Trucks, 1939_MOPAR_Cars, 1939_MOPAR_Trucks, 1940_MOPAR_Cars, 1940_MOPAR_Trucks, 1941_MOPAR_Cars, 1941_MOPAR_Trucks, 1942_MOPAR_Cars, 1942_MOPAR_Trucks, 1946_MOPAR_Cars, 1946_MOPAR_Trucks, 1947_MOPAR_Cars, 1948_MOPAR_Trucks, 1949_MOPAR_Trucks,1950_MOPAR_Trucks, 1951_MOPAR_Trucks, 1952_MOPAR_Trucks, 1953_MOPAR_Trucks, 1954_MOPAR_Trucks, 1955_MOPAR_Trucks, 1956_MOPAR_Trucks, 1957_MOPAR_Trucks, 1958_MOPAR_Trucks, 1959_MOPAR_Trucks, 1960_MOPAR_Trucks, 1961_MOPAR_Trucks, 1962_MOPAR_Trucks, 1963_MOPAR_Trucks, 1964_MOPAR_Trucks, 1965_MOPAR_Trucks, 1966_MOPAR_Trucks, 1967_MOPAR_Trucks, 1968_MOPAR_Trucks, 1969_MOPAR_Trucks, 1970_MOPAR_Trucks, 1971_MOPAR_Trucks, 1972_MOPAR_Trucks, 1973_MOPAR_Trucks, 1974_MOPAR_Trucks, 1975_MOPAR_Trucks, 1976_MOPAR_Trucks, 1948_MOPAR_Cars, 1949_MOPAR_Cars, 1950_MOPAR_Cars, 1951_MOPAR_Cars, 1952_MOPAR_Cars, 1953_MOPAR_Cars, 1954_MOPAR_Cars, 1955_MOPAR_Cars, 1956_MOPAR_Cars, 1956_MOPAR_Trucks, 1957_MOPAR_Cars, 1958_MOPAR_Cars, 1959_MOPAR_Cars, 1960_MOPAR_Cars, 1961_MOPAR_Cars, 1962_MOPAR_Cars, 1963_MOPAR_Cars, 1964_MOPAR_Cars, 1965_MOPAR_Cars, 1966_MOPAR_Cars, 1967_MOPAR_Cars, 1968_MOPAR_Cars, 1969_MOPAR_Cars, 1970_MOPAR_Cars, 1971_MOPAR_Cars, 1972_MOPAR_Cars, 1973_MOPAR_Cars, 1974_MOPAR_Cars, 1975_MOPAR_Cars, 1976_MOPAR_Cars,","Dimmer Switch Grommet for 1930 - 1976 Chrysler, DeSoto, Dodge & Plymouth | Interior Rubber","Perfect your Mopar's interior with our Dimmer Switch Grommet. Fits 1930-1976 Vintage & Classic Chrysler, DeSoto, Dodge & Plymouth cars & trucks.","<p>Keep your Chrysler, DeSoto, Dodge, or Plymouth looking sharp with our Dimmer Switch Grommet. This quality interior piece is crafted to fit a wide range of vehicles from 1930 to 1976, covering both vintage and classic eras. Designed for easy installation, it's a simple upgrade to maintain the integrity of your vehicle's interior.</p><ul><li>Compatible with both cars and trucks</li><li>Durable materials ensure long-lasting performance</li><li>Preserves the authentic look of your Mopar vehicle</li></ul><p>Whether you're restoring a classic or maintaining a vintage ride, this grommet is a crucial component of your interior rubber and carpets lineup.</p>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Dimmer Switch Grommet fo...mouth | Interior Rubber', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
Catalog,,Catalog | Literature,Explore our current catalog featuring literature selections for vintage & classic Mopar enthusiasts.,"<p>Dive into our current catalog, a rich resource for literature enthusiasts focusing on vintage and classic Mopar vehicles. Whether you're restoring a Chrysler, DeSoto, Dodge, or Plymouth, our catalog offers invaluable insights and information.</p><ul><li>Comprehensive content on Mopar vehicles</li><li>Covers both vintage (pre-1949) and classic (post-1950) models</li><li>Essential resource for restoration projects and Mopar history aficionados</li></ul>",
Refundable Core Charge,,Refundable Core Charge for Mopar Vehicles,"Understand the refundable core charge for your vintage & classic Mopar vehicles. Essential for Chrysler, DeSoto, Dodge & Plymouth owners.","<p>If you're restoring a vintage or classic Mopar vehicle, understanding the refundable core charge is essential. This charge ensures sustainable recycling of auto parts. Once you return the old part, the core charge is refunded, supporting both your restoration project and the environment.</p><p>This charge applies to various components across Chrysler, DeSoto, Dodge, and Plymouth vehicles. Make sure to check the terms and conditions of your purchase to understand eligibility and return procedures.</p>",
Control Arms Master Rebuild Kit,"1941_Chrysler_Royal, 1941_Chrysler_Windsor, 1941_DeSoto_S-8, 1941_Plymouth_P11 Deluxe, 1941_Plymouth_P11 Standard, 1941_Plymouth_P12 Special Deluxe, 1942_Chrysler_Royal, 1942_Chrysler_Windsor, 1942_DeSoto_S-10, 1942_Dodge_Custom, 1942_Dodge_Deluxe, 1942_Plymouth_P14C Special Deluxe, 1942_Plymouth_P14S Deluxe, 1946_Chrysler_Royal, 1946_Chrysler_Windsor, 1946_DeSoto_S-11, 1946_Dodge_Deluxe, 1946_Dodge_Custom, 1946_Plymouth_P15 Deluxe, 1946_Plymouth_P15 Special Deluxe, 1947_Chrysler_Royal, 1947_Chrysler_Windsor, 1947_DeSoto_S-11, 1947_Dodge_Deluxe, 1947_Dodge_Custom, 1947_Plymouth_P15 Deluxe, 1947_Plymouth_P15 Special Deluxe, 1948_Chrysler_Royal,  1948_Chrysler_Windsor, 1948_DeSoto_S-11, 1948_Dodge_Deluxe, 1948_Dodge_Custom, 1948_Plymouth_P15 Deluxe, 1948_Plymouth_P15 Special Deluxe, 1949_Chrysler_Royal, 1949_Chrysler_Windsor, 1949_DeSoto_S-13, 1949_Dodge_Coronet, 1949_Dodge_Meadowbrook, 1949_Dodge_Wayfarer, 1949_Plymouth_Deluxe, 1949_Plymouth_Special Deluxe, 1949_Plymouth_Suburban, 1950_Chrysler_Royal, 1950_Chrysler_Windsor, 1950_DeSoto_S-14, 1950_Dodge_Coronet, 1950_Dodge_Meadowbrook, 1950_Dodge_Wayfarer, 1950_Plymouth_Deluxe, 1950_Plymouth_Special Deluxe, 1950_Plymouth_Suburban,  1951_Chrysler_Windsor, 1951_DeSoto_S-15, 1951_Dodge_Coronet, 1951_Dodge_Meadowbrook, 1951_Dodge_Wayfarer, 1951_Plymouth_Cambridge, 1951_Plymouth_Concord, 1951_Plymouth_Cranbrook, 1951_Plymouth_Deluxe, 1951_Plymouth_Suburban, 1952_Chrysler_Windsor, 1952_DeSoto_Firedome, 1952_DeSoto_S-15, 1952_Dodge_Coronet, 1952_Dodge_Meadowbrook, 1952_Dodge_Wayfarer, 1952_Plymouth_Cambridge, 1952_Plymouth_Concord, 1952_Plymouth_Cranbrook, 1952_Plymouth_Suburban, 1953_Chrysler_Windsor, 1953_DeSoto_Firedome, 1953_DeSoto_Powermaster, 1953_Dodge_Coronet, 1953_Dodge_Meadowbrook, 1953_Plymouth_Belvedere, 1953_Plymouth_Cambridge, 1953_Plymouth_Cranbrook, 1953_Plymouth_Savoy, 1953_Plymouth_Suburban, 1954_Chrysler_Windsor, 1954_DeSoto_Firedome, 1954_DeSoto_Powermaster, 1954_Dodge_Coronet, 1954_Dodge_Meadowbrook, 1954_Dodge_Royal, 1954_Plymouth_Belvedere, 1954_Plymouth_Plaza, 1954_Plymouth_Savoy, 1954_Plymouth_Suburban","Control Arms Master Rebuild Kit for 1941-1954 Chrysler, DeSoto, Dodge & Plymouth | Front Axle","Revitalize your classic Mopar with our Control Arms Master Rebuild Kit. Fits 1941-1954 Chrysler, DeSoto, Dodge & Plymouth for a smooth ride.","<p>Ensure a smooth and safe ride for your classic Mopar with our Control Arms Master Rebuild Kit, perfectly tailored for 1941-1954 Chrysler, DeSoto, Dodge, and Plymouth vehicles. This comprehensive kit includes everything you need to service two upper and two lower control arms on one 6-cylinder car:</p><ul><li>All necessary shafts</li><li>Pins</li><li>Bushings</li></ul><p>Designed for easy installation, this kit ensures your front axle performs at its best, restoring the handling and stability of your classic ride.</p>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Control Arms Master Rebu...& Plymouth | Front Axle', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
Front Outer Wheel Bearing and Cup,"1928_Plymouth_Model Q, 1929_Plymouth_Model U, 1930_Plymouth_Model U, 1931_Plymouth_Model PA, 1932_Plymouth_Model PB, 1933_Plymouth_Model PD, 1933_Plymouth_Model PC, 1934_Plymouth_Standard PG Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Deluxe PE Model, 1935_Plymouth_Model PJ, 1935_Plymouth_Deluxe PJ Model, 1936_Plymouth_P2 Deluxe, 1936_Plymouth_P1 Business Line, 1937_Plymouth_P3, 1937_Plymouth_PT-50, 1937_Plymouth_P4, 1938_Plymouth_P5, 1938_Plymouth_PT-57, 1938_Plymouth_P6, 1939_Plymouth_PT-81, 1939_Plymouth_P8 Deluxe, 1939_Plymouth_P7 Roadking, 1940_Plymouth_PT-105, 1940_Plymouth_P9 Roadking, 1940_Plymouth_P10 Deluxe, 1941_Plymouth_PT-125, 1941_Plymouth_P12 Special Deluxe, 1941_Plymouth_P11 Standard, 1941_Plymouth_P11 Deluxe, 1942_Plymouth_P14S Deluxe, 1942_Plymouth_P14C Special Deluxe, 1946_Plymouth_P15 Special Deluxe, 1946_Plymouth_P15 Deluxe, 1947_Plymouth_P15 Special Deluxe, 1947_Plymouth_P15 Deluxe, 1948_Plymouth_P15 Special Deluxe, 1948_Plymouth_P15 Deluxe, 1929_DeSoto_Model K, 1930_DeSoto_Model CK, 1930_DeSoto_Model CF, 1931_DeSoto_Model SA, 1931_DeSoto_Model CK, 1931_DeSoto_Model CF, 1932_DeSoto_Model SC, 1932_DeSoto_Model SA, 1932_DeSoto_Model CF, 1933_DeSoto_Model SD, 1935_DeSoto_Airstream, 1936_DeSoto_Deluxe Airstream, 1937_DeSoto_S-3, 1937_DeSoto_S-3, 1938_DeSoto_S-5, 1939_DeSoto_S-6, 1940_DeSoto_S-7, 1941_DeSoto_S-8, 1942_DeSoto_S-10, 1946_DeSoto_S-11, 1947_DeSoto_S-11, 1948_DeSoto_S-11, 1930_Dodge_Series DC, 1930_Dodge_Series DA, 1930_Dodge_Series DD, 1930_Dodge_Series DB, 1931_Dodge_Series DD, 1931_Dodge_Series DH, 1931_Dodge_Series DC, 1931_Dodge_Series DG, 1932_Dodge_Series DL, 1932_Dodge_Series DM, 1933_Dodge_Deluxe, 1934_Dodge_Deluxe, 1935_Dodge_Cars DU DV & DV-6, 1937_Dodge_Cars D-5 D-6 & D-7, 1938_Dodge_Cars D-8 D-9 & D-10, 1939_Dodge_Cars D-11 D-12 & D-13, 1940_Dodge_Cars D-14 D-15 & D-17, 1941_Dodge_Deluxe, 1941_Dodge_Custom, 1942_Dodge_Deluxe, 1942_Dodge_Custom, 1946_Dodge_Deluxe, 1946_Dodge_Custom, 1947_Dodge_Deluxe, 1947_Dodge_Custom, 1948_Dodge_Deluxe, 1948_Dodge_Custom, 1929_Chrysler_Series 66, 1930_Chrysler_Series 66, 1931_Chrysler_Series 66, 1930_Chrysler_Series CJ, 1931_Chrysler_Series CJ, 1931_Chrysler_Series Six CM, 1930_Chrysler_Series Six, 1932_Chrysler_Series Six CM, 1932_Chrysler_Series CI, 1932_Chrysler_Series CI, 1933_Chrysler_Series CO, 1935_Chrysler_Airstream Series C-6, 1936_Chrysler_Airstream Series C-7, 1937_Chrysler_Royal, 1938_Chrysler_Royal, 1939_Chrysler_Royal Windsor, 1939_Chrysler_Royal, 1940_Chrysler_Windsor, 1940_Chrysler_Royal, 1941_Chrysler_Windsor, 1941_Chrysler_Royal, 1942_Chrysler_Windsor, 1942_Chrysler_Royal, 1946_Chrysler_Windsor, 1946_Chrysler_Royal Series, 1947_Chrysler_Windsor, 1947_Chrysler_Royal Series, 1948_Chrysler_Windsor, 1948_Chrysler_Royal Series, 1934_MOPAR_Trucks, 1935_MOPAR_Trucks, 1936_MOPAR_Trucks, 1937_MOPAR_Trucks, 1938_MOPAR_Trucks, 1939_MOPAR_Trucks, 1940_Dodge_1/2 Ton Truck, 1940_Dodge_3/4 Ton Truck, 1941_MOPAR_Trucks, 1942_MOPAR_Trucks, 1943_MOPAR_Trucks, 1944_MOPAR_Trucks, 1945_MOPAR_Trucks, 1946_Dodge_1/2 Ton Truck, 1946_Dodge_3/4 Ton Truck, 1946_Dodge_1 Ton Truck, 1947_Dodge_1/2 Ton Truck, 1947_Dodge_3/4 Ton Truck, 1947_Dodge_1 Ton Truck, 1948_Dodge_1/2 Ton Truck, 1948_Dodge_3/4 Ton Truck, 1949_Dodge_1/2 Ton Truck, 1949_Dodge_3/4 Ton Truck, 1950_Dodge_1/2 Ton Truck, 1950_Dodge_3/4 Ton Truck, 1951_Dodge_1/2 Ton Truck, 1951_Dodge_3/4 Ton Truck, 1952_Dodge_1/2 Ton Truck, 1952_Dodge_3/4 Ton Truck, 1953_Dodge_1/2 Ton Truck, 1953_Dodge_3/4 Ton Truck, 1954_Dodge_1/2 Ton Truck, 1954_Dodge_3/4 Ton Truck, 1955_Dodge_1/2 Ton Truck Truck, 1955_Dodge_3/4 Ton Truck, 1956_Dodge_1/2 Ton Truck, 1956_Dodge_3/4 Ton Truck","Front Outer Wheel Bearing & Cup for 1928-1956 Chrysler, DeSoto, Dodge & Plymouth | Wheels","Ensure smooth rides with our Front Outer Wheel Bearing & Cup. Fits 1928-1956 Classic & Vintage Mopar Cars - Chrysler, DeSoto, Dodge & Plymouth.","<p>Keep your classic or vintage Mopar vehicle running smoothly with this premium front outer wheel bearing and cup set. Designed to fit a wide range of models from 1928 to 1956, this component is essential for maintaining the optimal performance of your wheels.</p><ul><li><strong>High-Quality Material:</strong> Engineered for durability and long-lasting performance.</li><li><strong>Compatibility:</strong> Fits Chrysler, DeSoto, Dodge, and Plymouth models spanning from 1928 to 1956.</li><li><strong>Easy Installation:</strong> Perfect fit ensures straightforward installation for both classic car enthusiasts and professional mechanics.</li></ul><p>Whether you're restoring a vintage beauty or keeping your classic ride in top condition, this wheel bearing and cup set is a reliable choice.</p>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Front Outer Wheel Bearin...dge & Plymouth | Wheels', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
Differential Carrier Gasket,"1929_Chrysler_Series 66, 1928_Plymouth_Model Q, 1929_Plymouth_Model U, 1929_DeSoto_Model K,1930_Plymouth_Model U, 1930_DeSoto_Model K, 1930_DeSoto_Model CK, 1930_Chrysler_Series Six, 1930_Chrysler_Series 66, 1931_Plymouth_Model PA, 1931_DeSoto_Model SA, 1931_DeSoto_Model CK, 1931_Chrysler_Series CJ, 1931_Chrysler_Series 66, 1932_Plymouth_Model PB, 1932_DeSoto_Model SC, 1932_DeSoto_Model SA, 1933_Plymouth_Model PD, 1933_Plymouth_Model PC, 1933_Dodge_Truck, 1933_DeSoto_Model SD, 1933_Chrysler_Series CO, 1934_Plymouth_Standard PG Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Deluxe PE Model, 1933_Dodge_Deluxe, 1934_Dodge_Deluxe, 1934_DeSoto_Airflow, 1934_Chrysler_Series CB, 1934_Chrysler_Series CA, 1935_Chrysler_Airstream Series CZ, 1935_Plymouth_Model PJ, 1935_Plymouth_Deluxe PJ Model, 1935_Dodge_Truck, 1935_Dodge_Cars DU DV & DV-6, 1935_DeSoto_Airstream, 1935_DeSoto_Airflow III, 1935_DeSoto_Airflow, 1935_Chrysler_Airstream Series C-6, 1935_Chrysler_Airstream Deluxe Series CZ, 1936_Plymouth_P2 Deluxe, 1936_Plymouth_P1 Business Line, 1936_Dodge_Truck, 1936_Dodge_Cars D-2 D-3 & D-4, 1936_DeSoto_Deluxe Airstream, 1936_DeSoto_Airflow III, 1936_Chrysler_Airstream Series C-7, 1936_Chrysler_Airstream Deluxe Series C-8, 1937_Chrysler_Imperial, 1938_Chrysler_Imperial, 1938_Chrysler_New York Special, 1938_Chrysler_C19, 1939_Chrysler_Saratoga, 1939_Chrysler_New Yorker, 1939_Chrysler_Imperial, 1940_Chrysler_Traveler, 1940_Chrysler_Saratoga, 1940_Chrysler_New Yorker, 1941_Chrysler_Town & Country, 1941_Chrysler_Saratoga, 1941_Chrysler_New Yorker, 1942_Chrysler_Saratoga, 1942_Chrysler_New Yorker, 1946_Chrysler_Town & Country, 1946_Chrysler_Saratoga, 1946_Chrysler_New Yorker, 1947_Chrysler_Town & Country, 1947_Chrysler_Saratoga, 1947_Chrysler_New Yorker, 1948_Chrysler_Town & Country, 1948_Chrysler_Saratoga, 1948_Chrysler_New Yorker, 1949_Chrysler_Town & Country, 1949_Chrysler_Saratoga, 1949_Chrysler_New Yorker, 1949_Chrysler_Imperial, 1950_Chrysler_Town & Country, 1950_Chrysler_Saratoga, 1950_Chrysler_New Yorker, 1950_Chrysler_Imperial, 1951_Chrysler_Saratoga, 1951_Chrysler_New Yorker, 1952_Chrysler_Saratoga, 1952_Chrysler_New Yorker, 1952_Chrysler_Imperial, 1953_Chrysler_New Yorker, 1953_Chrysler_Imperial, 1954_Chrysler_New Yorker, 1954_Chrysler_Imperial, 1955_Chrysler_New Yorker, 1955_Chrysler_Imperial, 1955_Chrysler_300, 1956_Chrysler_New Yorker, 1956_Chrysler_Imperial, 1956_Chrysler_300, 1934_Dodge_Truck, 1935_Dodge_Truck, 1936_Dodge_Truck, 1952_DeSoto_Firedome, 1953_DeSoto_Firedome, 1954_DeSoto_Firedome, 1955_DeSoto_Fireflite, 1956_DeSoto_Fireflite, 1956_DeSoto_Adventurer","Differential Carrier Gasket for 1928-1956 Chrysler, DeSoto, Dodge & Plymouth | Rear Axle","Ensure smooth operation of your 1928-1956 Classic Mopar car. Fits Chrysler, DeSoto, Dodge & Plymouth models with precision rear axle sealing.","<p>Keep your classic Mopar vehicle running smoothly with our Differential Carrier Gasket, designed for superior rear axle protection. This gasket fits a wide range of models, including:</p><ul><li>1929 Chrysler Series 66, 1928-1934 Plymouth Models</li><li>1929-1956 DeSoto Models</li><li>1933-1956 Dodge Trucks and Cars</li><li>1930-1956 Chrysler Models</li></ul><p>Our gasket provides a reliable seal to prevent leaks and ensure optimal performance. Ideal for both restoration projects and routine maintenance, it helps maintain the integrity of your rear axle assembly. Easy to install and crafted for durability, this gasket supports the longevity of your vehicle's drive system.</p>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Differential Carrier Gas... & Plymouth | Rear Axle', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
"Brake Shoes and Lining Assemblies - 10"" x 1 1/2"" (4-Piece Set, Enough for One Axle) - Fits Front and Rear","1933_Dodge_Deluxe, 1933_Plymouth_Model PC, 1933_Plymouth_Model PD, 1934_Plymouth_Deluxe PE Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Standard PG Model",Brake Shoes & Lining Assemblies for 1933-1934 Dodge & Plymouth | Service Brakes,"Ensure smooth stopping with our brake shoes for 1933-1934 Classic Mopar Cars - Dodge & Plymouth. Perfect for your 10"" drums.","<p>Keep your classic 1933-1934 Dodge or Plymouth in top shape with our 10"" x 1 1/2"" brake shoes and lining assemblies. This 4-piece set is designed to fit either the front or rear axle, providing the stopping power you need for both vintage models.</p><ul><li>Fits 1933 Dodge Deluxe, 1933 Plymouth Model PC, 1933 Plymouth Model PD, 1934 Plymouth Deluxe PE Model, 1934 Plymouth Standard PF Model, and 1934 Plymouth Standard PG Model.</li><li>Ideal for 10"" brake drums; for 1934 models, verify drum width to ensure compatibility.</li><li>Includes four brake shoes to service one axle.</li><li>Crafted for durability and reliability in classic cars.</li></ul><p>Make sure to measure your brake drum width, especially if you own a 1934 model, as some used 10""x1.5"" or 10""x2"" drums. Trust in quality parts to keep your classic Mopar vehicle safe and operational.</p>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Brake Shoes & Lining Ass...ymouth | Service Brakes', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
"Clutch Disc - 9 1/4"" For Standard Transmission","1935_Plymouth_Deluxe PJ Model, 1935_Plymouth_Model PJ, 1936_Plymouth_P1 Business Line, 1936_Plymouth_P2 Deluxe, 1937_Plymouth_P4,  1937_Plymouth_P3, 1938_Plymouth_P6, 1938_Plymouth_P5, 1939_Plymouth_P7 Roadking, 1939_Plymouth_P8 Deluxe, 1940_Plymouth_P10 Deluxe, 1940_Plymouth_P9 Roadking, 1941_Plymouth_P11 Deluxe, 1941_Plymouth_P11 Standard, 1941_Plymouth_P12 Special Deluxe, 1942_Plymouth_P14C Special Deluxe, 1942_Plymouth_P14S Deluxe, 1946_Plymouth_P15 Deluxe, 1946_Plymouth_P15 Special Deluxe, 1947_Plymouth_P15 Deluxe, 1947_Plymouth_P15 Special Deluxe, 1948_Plymouth_P15 Deluxe, 1948_Plymouth_P15 Special Deluxe, 1949_Plymouth_Deluxe, 1949_Plymouth_Special Deluxe, 1949_Plymouth_Suburban, 1950_Plymouth_Deluxe, 1950_Plymouth_Special Deluxe, 1950_Plymouth_Suburban, 1951_Plymouth_Cambridge, 1951_Plymouth_Concord, 1951_Plymouth_Cranbrook, 1951_Plymouth_Deluxe, 1951_Plymouth_Suburban, 1952_Plymouth_Cambridge, 1952_Plymouth_Concord, 1952_Plymouth_Cranbrook, 1952_Plymouth_Suburban, 1953_Plymouth_Belvedere, 1953_Plymouth_Cambridge, 1953_Plymouth_Cranbrook, 1953_Plymouth_Savoy, 1953_Plymouth_Suburban, 1954_Plymouth_Belvedere, 1954_Plymouth_Plaza, 1954_Plymouth_Savoy, 1954_Plymouth_Suburban, 1955_Plymouth_Belvedere, 1955_Plymouth_Plaza, 1955_Plymouth_Savoy, 1955_Plymouth_Suburban, 1956_Plymouth_Belvedere, 1956_Plymouth_Fury, 1956_Plymouth_Plaza, 1956_Plymouth_Savoy, 1956_Plymouth_Suburban","Clutch Disc 9 1/4"" for 1935-1956 Plymouth | Clutch","Equip your vintage & classic Plymouth (1935-1956) with a reliable 9 1/4"" clutch disc for smooth standard transmission performance.","<p>Ensure smooth gear transitions in your Plymouth with our 9 1/4"" Clutch Disc, designed for standard transmissions. Perfect for models from 1935 to 1956, this clutch disc features:</p><ul><li>Outside diameter of 9 1/4 inches</li><li>1-inch center hole</li><li>10 splines for precise fit</li></ul><p>Compatible with various Plymouth models, including Deluxe, Special Deluxe, and Suburban, among others. This clutch disc offers reliable performance, ensuring your vintage and classic Mopar is road-ready.</p>",
