Title,Tag,meta_title,meta_description,product_description,validation_error
Convertible Top Header Rubber Seal,"1960_Chrysler_300, 1960_Chrysler_New Yorker, 1960_Chrysler_Saratoga, 1960_Chrysler_Windsor, 1960_DeSoto_Adventurer, 1960_DeSoto_Fireflite, 1960_Plymouth_Belvedere, 1960_Plymouth_Custom, 1960_Plymouth_Fury, 1960_Plymouth_Savoy, 1961_Chrysler_300,  1961_Chrysler_New Yorker, 1961_Chrysler_Newport, 1961_Chrysler_Windsor, 1961_DeSoto_Adventurer, 1961_Dodge_Dart, 1961_Dodge_Phoenix, 1961_Dodge_Pioneer, 1961_Dodge_Polara, 1961_Dodge_Seneca, 1961_Plymouth_Belvedere, 1961_Plymouth_Fury, 1961_Plymouth_Savoy, 1962_Plymouth_Fury, 1962_Plymouth_Belvedere, 1962_Dodge_Custom 880, 1962_Chrysler_Newport, 1962_Chrysler_New Yorker, 1962_Chrysler_300","Convertible Top Header Rubber Seal | 1960-1962 Chrysler, DeSoto, Dodge & Plymouth",Upgrade your 1960-1962 Classic Mopar with our Convertible Top Header Rubber Seal. Ensures a tight seal for weather protection.,"<p>Our Convertible Top Header Rubber Seal provides a reliable weather-tight seal for your 1960-1962 Classic Mopar, keeping the interior dry and protected from the elements. This easy-to-install seal is designed specifically for a variety of models, ensuring a snug fit and durable performance.</p><ul><li>Fits 1960 Chrysler 300</li><li>Fits 1960 Chrysler New Yorker</li><li>Fits 1960 Chrysler Saratoga</li><li>Fits 1960 Chrysler Windsor</li><li>Fits 1960 DeSoto Adventurer</li><li>Fits 1960 DeSoto Fireflite</li><li>Fits 1960 Plymouth Belvedere</li><li>Fits 1960 Plymouth Custom</li><li>Fits 1960 Plymouth Fury</li><li>Fits 1960 Plymouth Savoy</li><li>Fits 1961 Chrysler 300</li><li>Fits 1961 Chrysler New Yorker</li><li>Fits 1961 Chrysler Newport</li><li>Fits 1961 Chrysler Windsor</li><li>Fits 1961 DeSoto Adventurer</li><li>Fits 1961 Dodge Dart</li><li>Fits 1961 Dodge Phoenix</li><li>Fits 1961 Dodge Pioneer</li><li>Fits 1961 Dodge Polara</li><li>Fits 1961 Dodge Seneca</li><li>Fits 1961 Plymouth Belvedere</li><li>Fits 1961 Plymouth Fury</li><li>Fits 1961 Plymouth Savoy</li><li>Fits 1962 Plymouth Fury</li><li>Fits 1962 Plymouth Belvedere</li><li>Fits 1962 Dodge Custom 880</li><li>Fits 1962 Chrysler Newport</li><li>Fits 1962 Chrysler New Yorker</li><li>Fits 1962 Chrysler 300</li></ul>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Convertible Top Header R...eSoto, Dodge & Plymouth', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
Tail Light Pads,"1934_Plymouth_Deluxe PE Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Standard PG Model, 1935_Plymouth_Deluxe PJ Model, 1935_Plymouth_Model PJ",Tail Light Pads for 1934-1935 Plymouth | Exterior Rubber,Upgrade your 1934-1935 Plymouth with our durable tail light pads. Perfect fit for Deluxe & Standard models. Easy installation!,"<p>Keep your tail lights securely in place with these durable tail light pads designed specifically for 1934-1935 Plymouth cars. These pads help to absorb vibrations, ensuring that your tail lights function properly while adding an extra layer of protection against moisture and dirt.</p><ul><li>Fits 1934 Plymouth Deluxe PE Model</li><li>Fits 1934 Plymouth Standard PF Model</li><li>Fits 1934 Plymouth Standard PG Model</li><li>Fits 1935 Plymouth Deluxe PJ Model</li><li>Fits 1935 Plymouth Model PJ</li></ul><p>Installation is straightforward, making it a great DIY project for any classic car enthusiast. Simply remove the old pads and replace them with these new ones for a snug fit.</p>",
Dimmer Switch Grommet,"1930_MOPAR_Cars, 1931_MOPAR_Cars, 1932_MOPAR_Cars, 1933_MOPAR_Cars, 1933_MOPAR_Trucks, 1934_MOPAR_Cars, 1934_MOPAR_Trucks, 1935_MOPAR_Cars, 1935_MOPAR_Trucks, 1936_MOPAR_Cars, 1936_MOPAR_Trucks, 1937_MOPAR_Cars, 1937_MOPAR_Trucks, 1938_MOPAR_Cars, 1938_MOPAR_Trucks, 1939_MOPAR_Cars, 1939_MOPAR_Trucks, 1940_MOPAR_Cars, 1940_MOPAR_Trucks, 1941_MOPAR_Cars, 1941_MOPAR_Trucks, 1942_MOPAR_Cars, 1942_MOPAR_Trucks, 1946_MOPAR_Cars, 1946_MOPAR_Trucks, 1947_MOPAR_Cars, 1948_MOPAR_Trucks, 1949_MOPAR_Trucks,1950_MOPAR_Trucks, 1951_MOPAR_Trucks, 1952_MOPAR_Trucks, 1953_MOPAR_Trucks, 1954_MOPAR_Trucks, 1955_MOPAR_Trucks, 1956_MOPAR_Trucks, 1957_MOPAR_Trucks, 1958_MOPAR_Trucks, 1959_MOPAR_Trucks, 1960_MOPAR_Trucks, 1961_MOPAR_Trucks, 1962_MOPAR_Trucks, 1963_MOPAR_Trucks, 1964_MOPAR_Trucks, 1965_MOPAR_Trucks, 1966_MOPAR_Trucks, 1967_MOPAR_Trucks, 1968_MOPAR_Trucks, 1969_MOPAR_Trucks, 1970_MOPAR_Trucks, 1971_MOPAR_Trucks, 1972_MOPAR_Trucks, 1973_MOPAR_Trucks, 1974_MOPAR_Trucks, 1975_MOPAR_Trucks, 1976_MOPAR_Trucks, 1948_MOPAR_Cars, 1949_MOPAR_Cars, 1950_MOPAR_Cars, 1951_MOPAR_Cars, 1952_MOPAR_Cars, 1953_MOPAR_Cars, 1954_MOPAR_Cars, 1955_MOPAR_Cars, 1956_MOPAR_Cars, 1956_MOPAR_Trucks, 1957_MOPAR_Cars, 1958_MOPAR_Cars, 1959_MOPAR_Cars, 1960_MOPAR_Cars, 1961_MOPAR_Cars, 1962_MOPAR_Cars, 1963_MOPAR_Cars, 1964_MOPAR_Cars, 1965_MOPAR_Cars, 1966_MOPAR_Cars, 1967_MOPAR_Cars, 1968_MOPAR_Cars, 1969_MOPAR_Cars, 1970_MOPAR_Cars, 1971_MOPAR_Cars, 1972_MOPAR_Cars, 1973_MOPAR_Cars, 1974_MOPAR_Cars, 1975_MOPAR_Cars, 1976_MOPAR_Cars,","Dimmer Switch Grommet | 1930-1976 Chrysler, DeSoto, Dodge & Plymouth | Interior Rubber",Replace your dimmer switch grommet for 1930-1976 Vintage Mopar Cars & Trucks. Durable & easy to install for a finished look.,"<p>The Dimmer Switch Grommet is an essential component for your vintage Mopar car or truck, designed for models from 1930 to 1976. This durable rubber grommet not only protects the wiring from damage but also provides a clean, finished look to your interior. Replacing a worn or damaged grommet is a simple task that can improve the overall appearance of your dashboard.</p><p>Installation is straightforward; simply remove the old grommet and fit the new one in place. Make sure to check for any debris that may hinder the fit. It's an easy fix that can make a big difference!</p><ul><li>Compatible with 1930-1976 Chrysler, DeSoto, Dodge & Plymouth vehicles.</li><li>Durable rubber construction for long-lasting use.</li><li>Easy installation process to enhance your interior.</li></ul>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Dimmer Switch Grommet | ...mouth | Interior Rubber', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
Catalog,,Current Catalog for Vintage Mopar Cars | Literature,"Explore our current catalog for Vintage Mopar Cars - Chrysler, DeSoto, Dodge & Plymouth. Stay updated with our latest offerings.","<p>Stay in the loop with our <strong>Current Catalog</strong> for Vintage Mopar Cars. This comprehensive literature features all the latest parts and accessories for Chrysler, DeSoto, Dodge, and Plymouth vehicles. It’s a must-have resource for any enthusiast or restorer looking to maintain the authenticity of their classic ride.</p><ul><li>Detailed listings of parts</li><li>Latest offerings and updates</li><li>Essential for restorers and enthusiasts</li></ul>",
Refundable Core Charge,,Refundable Core Charge | Vintage Mopar Parts,Get your Refundable Core Charge for Vintage Mopar Cars. Return old parts for credit and save on your next purchase.,"<p>The Refundable Core Charge is designed to encourage the return of your old parts when purchasing new ones for your Vintage Mopar Car. This process not only helps you save on your next purchase but also supports the recycling of automotive parts, promoting sustainability. When you return your old parts, you receive a credit that can be applied to your future orders. It’s a simple and effective way to manage your vehicle's maintenance while also being environmentally conscious.</p><p><strong>Key Benefits:</strong></p><ul><li>Encourages recycling of automotive parts.</li><li>Saves you money on future purchases.</li><li>Supports sustainable practices in the automotive industry.</li></ul>",
Control Arms Master Rebuild Kit,"1941_Chrysler_Royal, 1941_Chrysler_Windsor, 1941_DeSoto_S-8, 1941_Plymouth_P11 Deluxe, 1941_Plymouth_P11 Standard, 1941_Plymouth_P12 Special Deluxe, 1942_Chrysler_Royal, 1942_Chrysler_Windsor, 1942_DeSoto_S-10, 1942_Dodge_Custom, 1942_Dodge_Deluxe, 1942_Plymouth_P14C Special Deluxe, 1942_Plymouth_P14S Deluxe, 1946_Chrysler_Royal, 1946_Chrysler_Windsor, 1946_DeSoto_S-11, 1946_Dodge_Deluxe, 1946_Dodge_Custom, 1946_Plymouth_P15 Deluxe, 1946_Plymouth_P15 Special Deluxe, 1947_Chrysler_Royal, 1947_Chrysler_Windsor, 1947_DeSoto_S-11, 1947_Dodge_Deluxe, 1947_Dodge_Custom, 1947_Plymouth_P15 Deluxe, 1947_Plymouth_P15 Special Deluxe, 1948_Chrysler_Royal,  1948_Chrysler_Windsor, 1948_DeSoto_S-11, 1948_Dodge_Deluxe, 1948_Dodge_Custom, 1948_Plymouth_P15 Deluxe, 1948_Plymouth_P15 Special Deluxe, 1949_Chrysler_Royal, 1949_Chrysler_Windsor, 1949_DeSoto_S-13, 1949_Dodge_Coronet, 1949_Dodge_Meadowbrook, 1949_Dodge_Wayfarer, 1949_Plymouth_Deluxe, 1949_Plymouth_Special Deluxe, 1949_Plymouth_Suburban, 1950_Chrysler_Royal, 1950_Chrysler_Windsor, 1950_DeSoto_S-14, 1950_Dodge_Coronet, 1950_Dodge_Meadowbrook, 1950_Dodge_Wayfarer, 1950_Plymouth_Deluxe, 1950_Plymouth_Special Deluxe, 1950_Plymouth_Suburban,  1951_Chrysler_Windsor, 1951_DeSoto_S-15, 1951_Dodge_Coronet, 1951_Dodge_Meadowbrook, 1951_Dodge_Wayfarer, 1951_Plymouth_Cambridge, 1951_Plymouth_Concord, 1951_Plymouth_Cranbrook, 1951_Plymouth_Deluxe, 1951_Plymouth_Suburban, 1952_Chrysler_Windsor, 1952_DeSoto_Firedome, 1952_DeSoto_S-15, 1952_Dodge_Coronet, 1952_Dodge_Meadowbrook, 1952_Dodge_Wayfarer, 1952_Plymouth_Cambridge, 1952_Plymouth_Concord, 1952_Plymouth_Cranbrook, 1952_Plymouth_Suburban, 1953_Chrysler_Windsor, 1953_DeSoto_Firedome, 1953_DeSoto_Powermaster, 1953_Dodge_Coronet, 1953_Dodge_Meadowbrook, 1953_Plymouth_Belvedere, 1953_Plymouth_Cambridge, 1953_Plymouth_Cranbrook, 1953_Plymouth_Savoy, 1953_Plymouth_Suburban, 1954_Chrysler_Windsor, 1954_DeSoto_Firedome, 1954_DeSoto_Powermaster, 1954_Dodge_Coronet, 1954_Dodge_Meadowbrook, 1954_Dodge_Royal, 1954_Plymouth_Belvedere, 1954_Plymouth_Plaza, 1954_Plymouth_Savoy, 1954_Plymouth_Suburban","Control Arms Master Rebuild Kit | 1941-1954 Chrysler, DeSoto, Dodge & Plymouth","Rebuild your front axle with our Control Arms Master Rebuild Kit for 1941-1954 Vintage Chrysler, DeSoto, Dodge & Plymouth cars.","<p>This Control Arms Master Rebuild Kit is designed to service two upper and two lower control arms on your 6-cylinder vintage Mopar car. It includes all the necessary components to get your front axle back in top shape, ensuring safety and improved handling.</p><p><strong>Features:</strong></p><ul><li>All shafts, pins, and bushings included</li><li>Compatible with various models from 1941 to 1954</li></ul><p>Installing this kit is straightforward, allowing you to restore the suspension of your classic ride effectively. With quality components, you can trust this kit to last, keeping your vehicle's performance smooth and reliable for years to come.</p>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Control Arms Master Rebu...eSoto, Dodge & Plymouth', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
Front Outer Wheel Bearing and Cup,"1928_Plymouth_Model Q, 1929_Plymouth_Model U, 1930_Plymouth_Model U, 1931_Plymouth_Model PA, 1932_Plymouth_Model PB, 1933_Plymouth_Model PD, 1933_Plymouth_Model PC, 1934_Plymouth_Standard PG Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Deluxe PE Model, 1935_Plymouth_Model PJ, 1935_Plymouth_Deluxe PJ Model, 1936_Plymouth_P2 Deluxe, 1936_Plymouth_P1 Business Line, 1937_Plymouth_P3, 1937_Plymouth_PT-50, 1937_Plymouth_P4, 1938_Plymouth_P5, 1938_Plymouth_PT-57, 1938_Plymouth_P6, 1939_Plymouth_PT-81, 1939_Plymouth_P8 Deluxe, 1939_Plymouth_P7 Roadking, 1940_Plymouth_PT-105, 1940_Plymouth_P9 Roadking, 1940_Plymouth_P10 Deluxe, 1941_Plymouth_PT-125, 1941_Plymouth_P12 Special Deluxe, 1941_Plymouth_P11 Standard, 1941_Plymouth_P11 Deluxe, 1942_Plymouth_P14S Deluxe, 1942_Plymouth_P14C Special Deluxe, 1946_Plymouth_P15 Special Deluxe, 1946_Plymouth_P15 Deluxe, 1947_Plymouth_P15 Special Deluxe, 1947_Plymouth_P15 Deluxe, 1948_Plymouth_P15 Special Deluxe, 1948_Plymouth_P15 Deluxe, 1929_DeSoto_Model K, 1930_DeSoto_Model CK, 1930_DeSoto_Model CF, 1931_DeSoto_Model SA, 1931_DeSoto_Model CK, 1931_DeSoto_Model CF, 1932_DeSoto_Model SC, 1932_DeSoto_Model SA, 1932_DeSoto_Model CF, 1933_DeSoto_Model SD, 1935_DeSoto_Airstream, 1936_DeSoto_Deluxe Airstream, 1937_DeSoto_S-3, 1937_DeSoto_S-3, 1938_DeSoto_S-5, 1939_DeSoto_S-6, 1940_DeSoto_S-7, 1941_DeSoto_S-8, 1942_DeSoto_S-10, 1946_DeSoto_S-11, 1947_DeSoto_S-11, 1948_DeSoto_S-11, 1930_Dodge_Series DC, 1930_Dodge_Series DA, 1930_Dodge_Series DD, 1930_Dodge_Series DB, 1931_Dodge_Series DD, 1931_Dodge_Series DH, 1931_Dodge_Series DC, 1931_Dodge_Series DG, 1932_Dodge_Series DL, 1932_Dodge_Series DM, 1933_Dodge_Deluxe, 1934_Dodge_Deluxe, 1935_Dodge_Cars DU DV & DV-6, 1937_Dodge_Cars D-5 D-6 & D-7, 1938_Dodge_Cars D-8 D-9 & D-10, 1939_Dodge_Cars D-11 D-12 & D-13, 1940_Dodge_Cars D-14 D-15 & D-17, 1941_Dodge_Deluxe, 1941_Dodge_Custom, 1942_Dodge_Deluxe, 1942_Dodge_Custom, 1946_Dodge_Deluxe, 1946_Dodge_Custom, 1947_Dodge_Deluxe, 1947_Dodge_Custom, 1948_Dodge_Deluxe, 1948_Dodge_Custom, 1929_Chrysler_Series 66, 1930_Chrysler_Series 66, 1931_Chrysler_Series 66, 1930_Chrysler_Series CJ, 1931_Chrysler_Series CJ, 1931_Chrysler_Series Six CM, 1930_Chrysler_Series Six, 1932_Chrysler_Series Six CM, 1932_Chrysler_Series CI, 1932_Chrysler_Series CI, 1933_Chrysler_Series CO, 1935_Chrysler_Airstream Series C-6, 1936_Chrysler_Airstream Series C-7, 1937_Chrysler_Royal, 1938_Chrysler_Royal, 1939_Chrysler_Royal Windsor, 1939_Chrysler_Royal, 1940_Chrysler_Windsor, 1940_Chrysler_Royal, 1941_Chrysler_Windsor, 1941_Chrysler_Royal, 1942_Chrysler_Windsor, 1942_Chrysler_Royal, 1946_Chrysler_Windsor, 1946_Chrysler_Royal Series, 1947_Chrysler_Windsor, 1947_Chrysler_Royal Series, 1948_Chrysler_Windsor, 1948_Chrysler_Royal Series, 1934_MOPAR_Trucks, 1935_MOPAR_Trucks, 1936_MOPAR_Trucks, 1937_MOPAR_Trucks, 1938_MOPAR_Trucks, 1939_MOPAR_Trucks, 1940_Dodge_1/2 Ton Truck, 1940_Dodge_3/4 Ton Truck, 1941_MOPAR_Trucks, 1942_MOPAR_Trucks, 1943_MOPAR_Trucks, 1944_MOPAR_Trucks, 1945_MOPAR_Trucks, 1946_Dodge_1/2 Ton Truck, 1946_Dodge_3/4 Ton Truck, 1946_Dodge_1 Ton Truck, 1947_Dodge_1/2 Ton Truck, 1947_Dodge_3/4 Ton Truck, 1947_Dodge_1 Ton Truck, 1948_Dodge_1/2 Ton Truck, 1948_Dodge_3/4 Ton Truck, 1949_Dodge_1/2 Ton Truck, 1949_Dodge_3/4 Ton Truck, 1950_Dodge_1/2 Ton Truck, 1950_Dodge_3/4 Ton Truck, 1951_Dodge_1/2 Ton Truck, 1951_Dodge_3/4 Ton Truck, 1952_Dodge_1/2 Ton Truck, 1952_Dodge_3/4 Ton Truck, 1953_Dodge_1/2 Ton Truck, 1953_Dodge_3/4 Ton Truck, 1954_Dodge_1/2 Ton Truck, 1954_Dodge_3/4 Ton Truck, 1955_Dodge_1/2 Ton Truck Truck, 1955_Dodge_3/4 Ton Truck, 1956_Dodge_1/2 Ton Truck, 1956_Dodge_3/4 Ton Truck","Front Outer Wheel Bearing and Cup | 1928-1956 Plymouth, DeSoto, Dodge & Chrysler",Upgrade your 1928-1956 Vintage Mopar Cars with our durable front outer wheel bearing and cup for smooth driving.,"<p>Keep your vintage Mopar rolling smoothly with our high-quality Front Outer Wheel Bearing and Cup. This essential part ensures proper wheel alignment and reduces friction, providing a safer and more comfortable driving experience.</p><p>Installation is straightforward for most DIY mechanics: simply remove the wheel, take out the old bearing and cup, and replace them with this new set for optimal performance.</p><ul><li>Compatible with 1928-1956 Plymouth Models</li><li>Compatible with 1929-1948 DeSoto Models</li><li>Compatible with 1930-1948 Dodge Models</li><li>Compatible with 1929-1948 Chrysler Models</li><li>Includes both bearing and cup</li></ul>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Front Outer Wheel Bearin...eSoto, Dodge & Chrysler', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
Differential Carrier Gasket,"1929_Chrysler_Series 66, 1928_Plymouth_Model Q, 1929_Plymouth_Model U, 1929_DeSoto_Model K,1930_Plymouth_Model U, 1930_DeSoto_Model K, 1930_DeSoto_Model CK, 1930_Chrysler_Series Six, 1930_Chrysler_Series 66, 1931_Plymouth_Model PA, 1931_DeSoto_Model SA, 1931_DeSoto_Model CK, 1931_Chrysler_Series CJ, 1931_Chrysler_Series 66, 1932_Plymouth_Model PB, 1932_DeSoto_Model SC, 1932_DeSoto_Model SA, 1933_Plymouth_Model PD, 1933_Plymouth_Model PC, 1933_Dodge_Truck, 1933_DeSoto_Model SD, 1933_Chrysler_Series CO, 1934_Plymouth_Standard PG Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Deluxe PE Model, 1933_Dodge_Deluxe, 1934_Dodge_Deluxe, 1934_DeSoto_Airflow, 1934_Chrysler_Series CB, 1934_Chrysler_Series CA, 1935_Chrysler_Airstream Series CZ, 1935_Plymouth_Model PJ, 1935_Plymouth_Deluxe PJ Model, 1935_Dodge_Truck, 1935_Dodge_Cars DU DV & DV-6, 1935_DeSoto_Airstream, 1935_DeSoto_Airflow III, 1935_DeSoto_Airflow, 1935_Chrysler_Airstream Series C-6, 1935_Chrysler_Airstream Deluxe Series CZ, 1936_Plymouth_P2 Deluxe, 1936_Plymouth_P1 Business Line, 1936_Dodge_Truck, 1936_Dodge_Cars D-2 D-3 & D-4, 1936_DeSoto_Deluxe Airstream, 1936_DeSoto_Airflow III, 1936_Chrysler_Airstream Series C-7, 1936_Chrysler_Airstream Deluxe Series C-8, 1937_Chrysler_Imperial, 1938_Chrysler_Imperial, 1938_Chrysler_New York Special, 1938_Chrysler_C19, 1939_Chrysler_Saratoga, 1939_Chrysler_New Yorker, 1939_Chrysler_Imperial, 1940_Chrysler_Traveler, 1940_Chrysler_Saratoga, 1940_Chrysler_New Yorker, 1941_Chrysler_Town & Country, 1941_Chrysler_Saratoga, 1941_Chrysler_New Yorker, 1942_Chrysler_Saratoga, 1942_Chrysler_New Yorker, 1946_Chrysler_Town & Country, 1946_Chrysler_Saratoga, 1946_Chrysler_New Yorker, 1947_Chrysler_Town & Country, 1947_Chrysler_Saratoga, 1947_Chrysler_New Yorker, 1948_Chrysler_Town & Country, 1948_Chrysler_Saratoga, 1948_Chrysler_New Yorker, 1949_Chrysler_Town & Country, 1949_Chrysler_Saratoga, 1949_Chrysler_New Yorker, 1949_Chrysler_Imperial, 1950_Chrysler_Town & Country, 1950_Chrysler_Saratoga, 1950_Chrysler_New Yorker, 1950_Chrysler_Imperial, 1951_Chrysler_Saratoga, 1951_Chrysler_New Yorker, 1952_Chrysler_Saratoga, 1952_Chrysler_New Yorker, 1952_Chrysler_Imperial, 1953_Chrysler_New Yorker, 1953_Chrysler_Imperial, 1954_Chrysler_New Yorker, 1954_Chrysler_Imperial, 1955_Chrysler_New Yorker, 1955_Chrysler_Imperial, 1955_Chrysler_300, 1956_Chrysler_New Yorker, 1956_Chrysler_Imperial, 1956_Chrysler_300, 1934_Dodge_Truck, 1935_Dodge_Truck, 1936_Dodge_Truck, 1952_DeSoto_Firedome, 1953_DeSoto_Firedome, 1954_DeSoto_Firedome, 1955_DeSoto_Fireflite, 1956_DeSoto_Fireflite, 1956_DeSoto_Adventurer","Differential Carrier Gasket | 1928-1956 Chrysler, DeSoto, Dodge & Plymouth | Rear Axle","Ensure a tight seal with our Differential Carrier Gasket for 1928-1956 Vintage Mopar Cars - Chrysler, DeSoto, Dodge & Plymouth.","<p>This Differential Carrier Gasket is essential for maintaining the integrity of your rear axle in vintage Chrysler, DeSoto, Dodge, and Plymouth vehicles from 1928 to 1956. A properly installed gasket ensures that the oil stays sealed within the differential, preventing leaks and ensuring smooth operation.</p><p>Installation is straightforward; simply remove the old gasket, clean the mating surfaces, and replace it with this high-quality gasket. It's made from durable materials designed to withstand the rigors of vintage motoring, providing a reliable seal for years to come.</p><ul><li>Compatible with models such as:</li><li>1929 Chrysler Series 66</li><li>1928 Plymouth Model Q</li><li>1930 Plymouth Model U</li><li>1931 Chrysler Series CJ</li><li>1932 Plymouth Model PB</li><li>1940 Chrysler New Yorker</li><li>1956 DeSoto Fireflite</li></ul>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Differential Carrier Gas... & Plymouth | Rear Axle', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
"Brake Shoes and Lining Assemblies - 10"" x 1 1/2"" (4-Piece Set, Enough for One Axle) - Fits Front and Rear","1933_Dodge_Deluxe, 1933_Plymouth_Model PC, 1933_Plymouth_Model PD, 1934_Plymouth_Deluxe PE Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Standard PG Model",Brake Shoes and Lining Assemblies - 1933-1934 Dodge & Plymouth,"Quality brake shoes for 1933-1934 Classic Mopar Cars. Fits 10"" x 1.5"" drums. Reliable stopping power for safer drives.","<p>Upgrade your 1933-1934 Classic Mopar Cars with this 4-piece set of brake shoes and lining assemblies. Designed for 10"" x 1 1/2"" brake drums, these shoes provide reliable stopping power to keep you safe on the road. Before installation, it's worth taking a quick measurement, especially for 1934 models, as some used 10"" x 2"" drums instead.</p><ul><li>Brake shoes: 1 1/2"" width</li><li>Set includes 4 pieces (enough for one axle)</li><li>Fits front and rear applications</li></ul>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Brake Shoes and Lining A...3-1934 Dodge & Plymouth', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
"Clutch Disc - 9 1/4"" For Standard Transmission","1935_Plymouth_Deluxe PJ Model, 1935_Plymouth_Model PJ, 1936_Plymouth_P1 Business Line, 1936_Plymouth_P2 Deluxe, 1937_Plymouth_P4,  1937_Plymouth_P3, 1938_Plymouth_P6, 1938_Plymouth_P5, 1939_Plymouth_P7 Roadking, 1939_Plymouth_P8 Deluxe, 1940_Plymouth_P10 Deluxe, 1940_Plymouth_P9 Roadking, 1941_Plymouth_P11 Deluxe, 1941_Plymouth_P11 Standard, 1941_Plymouth_P12 Special Deluxe, 1942_Plymouth_P14C Special Deluxe, 1942_Plymouth_P14S Deluxe, 1946_Plymouth_P15 Deluxe, 1946_Plymouth_P15 Special Deluxe, 1947_Plymouth_P15 Deluxe, 1947_Plymouth_P15 Special Deluxe, 1948_Plymouth_P15 Deluxe, 1948_Plymouth_P15 Special Deluxe, 1949_Plymouth_Deluxe, 1949_Plymouth_Special Deluxe, 1949_Plymouth_Suburban, 1950_Plymouth_Deluxe, 1950_Plymouth_Special Deluxe, 1950_Plymouth_Suburban, 1951_Plymouth_Cambridge, 1951_Plymouth_Concord, 1951_Plymouth_Cranbrook, 1951_Plymouth_Deluxe, 1951_Plymouth_Suburban, 1952_Plymouth_Cambridge, 1952_Plymouth_Concord, 1952_Plymouth_Cranbrook, 1952_Plymouth_Suburban, 1953_Plymouth_Belvedere, 1953_Plymouth_Cambridge, 1953_Plymouth_Cranbrook, 1953_Plymouth_Savoy, 1953_Plymouth_Suburban, 1954_Plymouth_Belvedere, 1954_Plymouth_Plaza, 1954_Plymouth_Savoy, 1954_Plymouth_Suburban, 1955_Plymouth_Belvedere, 1955_Plymouth_Plaza, 1955_Plymouth_Savoy, 1955_Plymouth_Suburban, 1956_Plymouth_Belvedere, 1956_Plymouth_Fury, 1956_Plymouth_Plaza, 1956_Plymouth_Savoy, 1956_Plymouth_Suburban","Clutch Disc - 9 1/4"" for 1935-1956 Plymouth | Clutch","Get a new clutch disc for your 1935-1956 Plymouth. Reliable 9 1/4"" part for standard transmission. Easy to install.","<p>If you're looking to maintain or restore your classic Plymouth, our new 9 1/4"" clutch disc is just what you need. Designed for standard transmissions, this durable part features a 1-inch center hole and 10 splines, ensuring a perfect fit for your vehicle's clutch system.</p><p>It's a simple installation that can make a world of difference in your car's performance. A well-functioning clutch disc allows for smooth gear changes and enhances your overall driving experience.</p><ul><li>9 1/4"" outside diameter</li><li>1"" center hole</li><li>10 splines</li></ul><p>This clutch disc fits a range of Plymouth models from 1935 through 1956, so you can feel confident knowing it’s compatible with your classic ride.</p>",
