task_id,meta_title,meta_description,product_description,validation_error
task-0,3M Black Weatherstrip Adhesive for Vintage MOPAR Cars & Trucks,Secure your weatherstripping with 3M Black Weatherstrip Adhesive. Ideal for MOPAR vehicles from 1928-1962. Long-lasting and durable.,"<p>Revitalize your vintage MOPAR vehicle's weatherstripping with our <strong>3M Brand Black Weatherstrip Adhesive</strong>. Perfect for a wide array of MOPAR cars and trucks spanning from 1928 to 1962, this adhesive ensures a strong, durable bond for your weatherstripping, safeguarding your vehicle's interior against the elements and noise pollution.</p><ul><li><strong>Compatibility:</strong> Specially designed for MOPAR vehicles, this weatherstrip adhesive fits models from 1928 to 1962, including both cars and trucks.</li><li><strong>3M Quality:</strong> Leveraging the reliability and strength of 3M products, this black weatherstrip adhesive guarantees a secure and lasting seal.</li><li><strong>Application:</strong> Ideal for both professional restorers and DIY enthusiasts, our adhesive allows for an easy and clean application process, ensuring your vehicle's weatherstripping remains firmly in place.</li><li><strong>Versatility:</strong> Whether you're restoring a classic car or maintaining a vintage truck, this adhesive meets a wide range of weatherstripping needs, from doors to windows and trunks.</li></ul><p>Bring back the original look and feel of your vintage MOPAR vehicle while providing it with the protection it deserves. <strong>3M Brand Black Weatherstrip Adhesive</strong> is your go-to solution for weatherstripping applications, ensuring a perfect fit and finish for your classic ride.</p>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='3M Black Weatherstrip Ad...age MOPAR Cars & Trucks', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
task-1,Molded Cowl Vent Gasket for 1936-1938 Mopar Models,"Shop high-quality reproduction Molded Cowl Vent Gaskets for 1936-1938 Chrysler, DeSoto, Dodge & Plymouth. Perfect fit & durability.","<p>Revive the authenticity and functionality of your vintage Mopar vehicle with our <strong>Molded Cowl Vent Gasket</strong>, a high-quality reproduction of the original Mopar number 742408. Designed with precision to ensure a perfect fit, this molded cowl rubber gasket is the perfect solution to replace your worn or damaged seals, ensuring your engine is protected from water and debris.</p><ul><li><strong>Features:</strong> Exquisitely molded rubber gasket, replicating the original design to ensure a perfect seal and fit.</li><li><strong>Compatibility:</strong> Fits a wide range of Mopar cars from 1936 to 1938, including Chrysler Airstream Deluxe Series C-8, Airstream Series C-7, Custom, Imperial and Royal; DeSoto S-3 and S-5; Dodge Deluxe and Cars D-5, D-6 & D-7; and Plymouth P3, P4, P5, and P6.</li><li><strong>Exclusions:</strong> Please note, this gasket does not fit Airflow models.</li></ul><p>Invest in the best for your cherished classic. This Molded Cowl Vent Gasket not only restores the original look and feel of your vintage vehicle but also offers enhanced protection and longevity. Perfect for enthusiasts and restorers alike, it's an essential component for maintaining the integrity of your vehicle's engine bay against the elements.</p>",
task-2,1951-54 Chrysler & Imperial V8 Head Gasket | Vintage Auto Parts,"Shop head gaskets for 1951-54 Chrysler & Imperial V8 models. High-quality, durable parts. Fits all V8 engines. Price per gasket, two needed per engine.","<p>Revitalize your classic 1951-54 Chrysler or Imperial with our premium <strong>Head Gasket</strong>, designed specifically for all V8 engines. This essential component is crucial for maintaining the integrity of your engine, ensuring a tight seal between the engine block and cylinder head to prevent oil or coolant leaks and to ensure maximum compression.</p><p><strong>Features:</strong><ul><li>Compatible with 1951-54 Chrysler models including the Imperial, New Yorker, and Saratoga.</li><li>Each engine requires two head gaskets - <em>price is per head gasket</em>.</li><li>Designed for durability and performance, ensuring your classic car runs smoothly.</li></ul><p>Whether you're undertaking a full restoration or simply keeping your vintage ride in top condition, our head gasket is the perfect fit for your 1951-54 Chrysler or Imperial V8. <strong>Order yours today</strong> and ensure your classic car continues to perform at its best.</p>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='1951-54 Chrysler & Imper...et | Vintage Auto Parts', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
task-3,1955 Plymouth & Dodge V8 Head Gasket - Vintage Auto Parts,"High-quality head gasket for 1955 Plymouth & Dodge V8 cars. Perfect fit for Belvedere, Plaza, Savoy, & Suburban. Enhance your engine's performance.","<p>Restore your vintage 1955 Plymouth or Dodge V8 engine to its former glory with our premium Head Gasket. Specifically designed to meet the exacting standards of classic car enthusiasts, this head gasket ensures a perfect seal to maintain engine efficiency and performance. Each package contains one head gasket, and since each engine requires two, please consider purchasing a pair for a complete overhaul.</p><ul><li><strong>Compatibility:</strong> Fits all 1955 Plymouth V8 models including Belvedere, Plaza, Savoy, and Suburban. Also suitable for all 1955 Dodge car V8 models.</li><li><strong>Price Per Gasket:</strong> Each purchase includes one head gasket. Note: Each engine requires two head gaskets for full replacement.</li><li><strong>Quality Assurance:</strong> Manufactured to the highest standards to ensure durability, reliability, and optimum performance.</li></ul><p>Investing in our Head Gasket means securing the performance and longevity of your vintage vehicle. Perfect for restorations and repairs, it is the ideal choice for the discerning classic car owner seeking to preserve the integrity of their 1955 Plymouth or Dodge V8 engine.</p>",
task-4,Vintage Dodge & Plymouth Head Gasket for Poly V8 Engines,"High-quality head gasket fitting 1956-66 Dodge and Plymouth with 277, 301, 303, 313, 318, 326 engines. Perfect for classic car restorations.","<p>Revitalize the engine of your classic Dodge or Plymouth with our premium head gasket, specifically designed for a wide range of vintage vehicles with Poly V8 engines. This gasket is a crucial component in maintaining the integrity of your engine, ensuring a tight seal between the engine block and cylinder head.</p><ul><li>Fits 1956 Plymouth 277 (excluding 270) and 1957-66 Plymouth with 301, 303, 313, 318, or 326 engines.</li><li>Compatible with 1956-58 Dodge cars, all with Poly V8 engines (excluding HEMI) and 1959-66 Dodge cars with 301, 303, 313, 318, or 326 engines.</li><li>Exclusively for 1957 DeSoto FIRESWEEP models.</li><li>Each engine requires two head gaskets - sold individually.</li></ul><p>Our head gasket is crafted from durable materials designed to withstand the harsh conditions of a running engine, providing reliability and performance to your vintage car. Whether you're restoring a 1956 Dodge Coronet, a 1957 Plymouth Fury, or any of the compatible models listed, this head gasket is the perfect fit for your classic car's engine restoration or maintenance project.</p><p>Ensure your vintage vehicle runs smoothly and efficiently with our precisely engineered head gasket. Designed for longevity and optimal engine performance, it's the ideal choice for classic car enthusiasts and restorers dedicated to preserving the power and integrity of their vintage Dodge, Chrysler, DeSoto, or Plymouth.</p>",
task-5,1956-58 Dodge & Plymouth Head Gasket - Vintage Auto Parts,Premium Head Gasket for 1956-58 Dodge Hemi & 1956 Plymouth 270. Precision-engineered for a perfect fit. Enhance your engine's performance.,"<p>Revitalize the engine of your classic Dodge or Plymouth with our high-quality Head Gasket, meticulously engineered to match the specific needs of your vintage vehicle. This head gasket is designed with precision to ensure a perfect fit and optimal performance for the following applications:</p><ul><li>1956 Plymouth 270 (Note: Not suitable for 277)</li><li>1956-58 Dodge Hemi engines</li></ul><p><strong>Product Highlights:</strong></p><ul><li><strong>Compatibility:</strong> Tailored for a select range of vintage vehicles, including the 1956 Dodge Coronet, Custom, Lancer, Royal, Sierra, Plymouth Belvedere, Fury, Plaza, Savoy, Suburban, and extending to select models through 1957 and 1958.</li><li><strong>Quality Assurance:</strong> Manufactured to meet and exceed original equipment specifications, our head gasket ensures reliability and longevity.</li><li><strong>Value:</strong> Price per unit, noting that each engine requires two head gaskets for full replacement.</li></ul><p>Enhance the performance and reliability of your classic car's engine with our premium head gasket, an essential component for any restoration or maintenance project. Invest in quality for your vintage Dodge or Plymouth and keep your classic running smoothly.</p>",
task-6,1955-58 Chrysler Windsor & Saratoga Head Gasket,Shop premium head gaskets for 1955-58 Chrysler Windsor & Saratoga. Perfect fit & durability. Each engine needs 2. Buy now for your vintage restoration.,"<p>Upgrade your classic Chrysler with our top-quality <strong>Head Gasket</strong>, specifically designed for the <strong>1955-57 Chrysler Windsor</strong> and the <strong>1958 Chrysler Windsor and Saratoga</strong> models. This essential engine component ensures a perfect seal between the engine block and cylinder head, preventing leaks and ensuring optimal engine performance.</p><p>Manufactured with precision, our head gasket fits perfectly, catering exclusively to your vintage Chrysler Windsor or Saratoga. Whether you're completing a full restoration or simply replacing worn parts, this head gasket is the ideal choice for ensuring reliability and performance.</p><p><strong>Features:</strong><ul><li>Engineered for an exact fit on 1955-57 Chrysler Windsor and 1958 Chrysler Windsor and Saratoga models.</li><li>Price is per head gasket, with each engine requiring two gaskets for complete replacement.</li><li>Enhances engine reliability and performance by preventing leaks and maintaining optimal compression.</li></ul></p><p>Don't compromise on quality when it comes to restoring your classic Chrysler. Choose our head gasket for proven performance and durability. <strong>Order now</strong> to take the next step in your vintage car restoration journey!</p>",
task-7,1951-54 Chrysler & Imperial V8 Oil Pan Gasket Set,High-quality oil pan gasket set for 1951-54 Chrysler & Imperial V8 models. Ensure your engine's longevity with our USA-made gaskets.,"<p>Keep your vintage Chrysler or Imperial V8 engine in peak condition with our Oil Pan Gasket Set. Specifically designed for all 1951-54 Chrysler &amp; Imperial V8 models, this gasket set is the perfect solution for preventing oil leaks and maintaining engine health. Manufactured in the USA, this product promises unmatched quality and durability for your classic car.</p><h2>Features:</h2><ul><li>Designed to fit all 1951-54 Chrysler &amp; Imperial V8 models, including the Imperial, New Yorker, and Saratoga.</li><li>Made in the USA, ensuring high quality and durability.</li><li>Perfect for restoring, repairing, or maintaining your engine's performance and longevity.</li></ul><h2>Fitment:</h2><p>Compatible with a wide range of models:</p><ul><li>1951 Chrysler Imperial</li><li>1951 Chrysler New Yorker</li><li>1951 Chrysler Saratoga</li><li>1952 Chrysler Imperial</li><li>1952 Chrysler New Yorker</li><li>1952 Chrysler Saratoga</li><li>1953 Chrysler Imperial</li><li>1953 Chrysler New Yorker</li><li>1954 Chrysler Imperial</li><li>1954 Chrysler New Yorker</li></ul><p>Ensure your vintage vehicle operates smoothly with our precision-made oil pan gasket set, specifically designed for the discerning classic car owner.</p>",
task-8,1952-57 DeSoto Oil Pan Gasket Set - Vintage Auto Parts,"Premium reproduction Oil Pan Gasket Set for 1952-57 DeSoto models. Perfect fit, made in USA. Upgrade your vintage DeSoto's engine today.","<p>Revitalize your classic DeSoto's engine with our top-quality <strong>Oil Pan Gasket Set</strong>, specifically reproduced for <strong>1952 to 1957 DeSoto models</strong>, excluding the 1957 Firesweep. Each gasket set is meticulously crafted in the USA, ensuring your vintage vehicle maintains its authenticity while benefiting from the highest standards of modern engineering.</p><p>Fitment has been carefully considered to cover a wide range of DeSoto classics, including the <em>Firedome, Fireflite,</em> and <em>Adventurer</em> models from 1952 through 1957. This gasket set is the perfect solution for enthusiasts looking to restore or maintain their vehicle's engine with components that not only fit flawlessly but also match the original specifications for durability and performance.</p><p>Features include:</p><ul><li>Reproduction oil pan gasket set designed for an exact fit on all 1952-57 DeSoto models, except the 1957 Firesweep.</li><li>Proudly made in the USA, guaranteeing quality and authenticity.</li></ul><p>With this <strong>Oil Pan Gasket Set</strong>, your DeSoto will run smoother and more efficiently, preserving the legacy and performance of your cherished classic car.</p>",
task-9,Vintage Oil Pan Gasket Set for 1953-1958 Dodge & Plymouth,"High-quality reproduction oil pan gasket set for 1953-1958 Dodge, Plymouth, Desoto models with 270, 315, 326 c.i.d Poly engines.","<p>Upgrade or maintain your classic Dodge, Plymouth, or Desoto with our reproduction <strong>Oil Pan Gasket Set</strong>. Specifically designed for the discerning restorer and enthusiast, this gasket set fits a wide range of vintage models from 1953 to 1958, ensuring your classic car runs smoothly and efficiently.</p><ul><li>Perfect fit for <strong>1956-1958 Dodge, Plymouth, Desoto</strong> models equipped with <strong>270, 315, 326 c.i.d Poly engines</strong>.</li><li>Extensive fitment list includes popular models such as the Dodge Coronet, Plymouth Belvedere, and Desoto Adventurer among others, covering a wide variety of classic cars.</li><li>Made with high-quality materials designed to meet or exceed original specifications for performance, durability, and fit.</li><li>Easy to install with a perfect seal to prevent leaks, ensuring a long-lasting and reliable performance.</li></ul><p>This oil pan gasket set is an essential component for any restoration or maintenance project, providing peace of mind and reliability for your vintage vehicle. Whether you're maintaining your classic car for shows, personal enjoyment, or everyday driving, ensure it's performing at its best with our premium oil pan gasket set.</p>",
task-10,1955-58 Chrysler & Imperial Oil Pan Gasket Set,Premium Oil Pan Gasket Set for 1955-58 Chrysler & Imperial models. Enhance your engine's performance. Made in the USA.,"<p>Seal your engine with unmatched reliability using our <strong>Oil Pan Gasket Set</strong>, designed specifically for <strong>1955-58 Chrysler and Imperial</strong> models. This gasket set is the perfect choice for car enthusiasts and professionals looking to restore or maintain their vintage vehicle's engine to its original glory.</p><ul><li><strong>Compatibility:</strong> Fits all 1955-58 Chrysler models including 300, Imperial, New Yorker, Windsor, and Saratoga.</li><li><strong>Quality Manufacturing:</strong> Proudly made in the USA, ensuring top-notch materials and craftsmanship.</li><li><strong>Engine Integrity:</strong> Provides a leak-free seal to maintain your engine's efficiency and performance.</li></ul><p>Whether you're tackling a full restoration or simply maintaining your classic car, our Oil Pan Gasket Set offers the reliability and quality you demand. Trust in a product that brings both performance and peace of mind.</p>",
task-11,1956-58 Vintage V8 Engine Oil Pan Gasket Set,"Shop premium oil pan gasket set for 1956-58 Dodge & Plymouth V8s, exclusive to specific models. Perfect fit for vintage restoration.","<p>Revitalize your classic with our high-quality Oil Pan Gasket Set, specifically designed for vintage V8 engines. This essential component is the perfect choice for automotive enthusiasts aiming to restore their 1956 to 1958 Dodge, Plymouth, or 1957 DeSoto Firesweep to its former glory. Engineered for durability and precision fit, this gasket set promises to meet the exacting standards of your classic car.</p><ul><li>Designed exclusively for <strong>1956 Plymouth 277 V8</strong> (Note: Does not fit 270) and <strong>1957-58 Plymouth V8 models</strong> (except 1958 Fury with 350 engine).</li><li>Fits <strong>1956-58 Dodge cars</strong> with V8 Poly Engines (Note: Does not fit HEMI engines).</li><li>Compatible with <strong>1957 DeSoto Firesweep</strong>.</li></ul><p>Ensure your classic car runs smoothly with our precision-engineered Oil Pan Gasket Set. Discover the perfect blend of performance and reliability for your vintage Dodge, Plymouth, or DeSoto.</p>",
