Title,Tag,meta_title,meta_description,product_description,validation_error
Convertible Top Header Rubber Seal,"1960_Chrysler_300, 1960_Chrysler_New Yorker, 1960_Chrysler_Saratoga, 1960_Chrysler_Windsor, 1960_DeSoto_Adventurer, 1960_DeSoto_Fireflite, 1960_Plymouth_Belvedere, 1960_Plymouth_Custom, 1960_Plymouth_Fury, 1960_Plymouth_Savoy, 1961_Chrysler_300,  1961_Chrysler_New Yorker, 1961_Chrysler_Newport, 1961_Chrysler_Windsor, 1961_DeSoto_Adventurer, 1961_Dodge_Dart, 1961_Dodge_Phoenix, 1961_Dodge_Pioneer, 1961_Dodge_Polara, 1961_Dodge_Seneca, 1961_Plymouth_Belvedere, 1961_Plymouth_Fury, 1961_Plymouth_Savoy, 1962_Plymouth_Fury, 1962_Plymouth_Belvedere, 1962_Dodge_Custom 880, 1962_Chrysler_Newport, 1962_Chrysler_New Yorker, 1962_Chrysler_300",Convertible Top Header Seal for 1960-1962 Mopar Cars,"Ensure a snug fit with this convertible top header seal for 1960-1962 Chrysler, DeSoto, Dodge, and Plymouth models.","Keep the elements out with this high-quality convertible top header rubber seal. Designed for 1960-1962 Chrysler, DeSoto, Dodge, and Plymouth vehicles, it ensures a snug fit and long-lasting durability. Replace your worn or damaged seal and enjoy a quieter, more comfortable ride. This seal is easy to install, simply remove the old seal and align the new one using the existing mounting points. <ul><li>1960 Chrysler 300, New Yorker, Saratoga, Windsor</li><li>1960 DeSoto Adventurer, Fireflite</li><li>1960 Plymouth Belvedere, Custom, Fury, Savoy</li><li>1961 Chrysler 300, New Yorker, Newport, Windsor</li><li>1961 DeSoto Adventurer</li><li>1961 Dodge Dart, Phoenix, Pioneer, Polara, Seneca</li><li>1961 Plymouth Belvedere, Fury, Savoy</li><li>1962 Plymouth Fury, Belvedere</li><li>1962 Dodge Custom 880</li><li>1962 Chrysler Newport, New Yorker, 300</li></ul>",
Tail Light Pads,"1934_Plymouth_Deluxe PE Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Standard PG Model, 1935_Plymouth_Deluxe PJ Model, 1935_Plymouth_Model PJ",Tail Light Pads for 1934-1935 Plymouth Models,Durable rubber tail light pads for 1934-1935 Plymouth Deluxe & Standard models. Protects tail light assembly with easy installation.,"Keep your 1934-1935 Plymouth looking sharp while protecting your tail light assembly with these high-quality tail light pads. Crafted from durable rubber, these pads help prevent moisture and debris from damaging your tail light area. Installation is straightforward: simply place the pad between the tail light housing and the body of your vehicle. These pads are compatible with:<ul><li>1934 Plymouth Deluxe PE Model</li><li>1934 Plymouth Standard PF Model</li><li>1934 Plymouth Standard PG Model</li><li>1935 Plymouth Deluxe PJ Model</li><li>1935 Plymouth Model PJ</li></ul>Ensure your vintage Plymouth has the protection it needs with these essential tail light pads.",
Dimmer Switch Grommet,"1930_MOPAR_Cars, 1931_MOPAR_Cars, 1932_MOPAR_Cars, 1933_MOPAR_Cars, 1933_MOPAR_Trucks, 1934_MOPAR_Cars, 1934_MOPAR_Trucks, 1935_MOPAR_Cars, 1935_MOPAR_Trucks, 1936_MOPAR_Cars, 1936_MOPAR_Trucks, 1937_MOPAR_Cars, 1937_MOPAR_Trucks, 1938_MOPAR_Cars, 1938_MOPAR_Trucks, 1939_MOPAR_Cars, 1939_MOPAR_Trucks, 1940_MOPAR_Cars, 1940_MOPAR_Trucks, 1941_MOPAR_Cars, 1941_MOPAR_Trucks, 1942_MOPAR_Cars, 1942_MOPAR_Trucks, 1946_MOPAR_Cars, 1946_MOPAR_Trucks, 1947_MOPAR_Cars, 1948_MOPAR_Trucks, 1949_MOPAR_Trucks,1950_MOPAR_Trucks, 1951_MOPAR_Trucks, 1952_MOPAR_Trucks, 1953_MOPAR_Trucks, 1954_MOPAR_Trucks, 1955_MOPAR_Trucks, 1956_MOPAR_Trucks, 1957_MOPAR_Trucks, 1958_MOPAR_Trucks, 1959_MOPAR_Trucks, 1960_MOPAR_Trucks, 1961_MOPAR_Trucks, 1962_MOPAR_Trucks, 1963_MOPAR_Trucks, 1964_MOPAR_Trucks, 1965_MOPAR_Trucks, 1966_MOPAR_Trucks, 1967_MOPAR_Trucks, 1968_MOPAR_Trucks, 1969_MOPAR_Trucks, 1970_MOPAR_Trucks, 1971_MOPAR_Trucks, 1972_MOPAR_Trucks, 1973_MOPAR_Trucks, 1974_MOPAR_Trucks, 1975_MOPAR_Trucks, 1976_MOPAR_Trucks, 1948_MOPAR_Cars, 1949_MOPAR_Cars, 1950_MOPAR_Cars, 1951_MOPAR_Cars, 1952_MOPAR_Cars, 1953_MOPAR_Cars, 1954_MOPAR_Cars, 1955_MOPAR_Cars, 1956_MOPAR_Cars, 1956_MOPAR_Trucks, 1957_MOPAR_Cars, 1958_MOPAR_Cars, 1959_MOPAR_Cars, 1960_MOPAR_Cars, 1961_MOPAR_Cars, 1962_MOPAR_Cars, 1963_MOPAR_Cars, 1964_MOPAR_Cars, 1965_MOPAR_Cars, 1966_MOPAR_Cars, 1967_MOPAR_Cars, 1968_MOPAR_Cars, 1969_MOPAR_Cars, 1970_MOPAR_Cars, 1971_MOPAR_Cars, 1972_MOPAR_Cars, 1973_MOPAR_Cars, 1974_MOPAR_Cars, 1975_MOPAR_Cars, 1976_MOPAR_Cars,",Dimmer Switch Grommet for 1930-1976 Mopar Cars & Trucks,Replace worn dimmer switch grommets on 1930-1976 Mopar cars and trucks for a smoother interior feel.,"<p>Keep your Mopar vehicle's interior looking sharp with this Dimmer Switch Grommet. Designed to fit a wide range of Mopar cars and trucks from 1930 to 1976, this grommet ensures your dimmer switch operates smoothly. It's a small, but crucial part that helps protect the switch from dust and debris, ensuring longevity and functionality. Easy to install, just remove the old grommet and pop this one into place for a snug fit. Ideal for vintage and classic Mopar enthusiasts who want to maintain their vehicle's interior integrity.</p>",
Catalog,,Current Literature Catalog,Explore the latest titles in our Current Literature Catalog. Find a wide range of books and genres perfect for every reader.,"Explore our <strong>Current Literature Catalog</strong> for a curated selection of the latest titles and genres. Whether you're an avid reader or just browsing, you'll find something to pique your interest.",
Refundable Core Charge,,Refundable Core Charge for Vintage & Classic Mopar Parts,"Understand the refundable core charge policy for Chrysler, DeSoto, Dodge, and Plymouth auto parts. Learn how the charge ensures part quality.","<p>The refundable core charge is an integral part of the auto parts purchasing process for vintage and classic Mopar cars, including Chrysler, DeSoto, Dodge, and Plymouth. Essentially, this charge is a deposit ensuring that the old part is returned in exchange for a refurbished or new one. Once you return your old part, you get this core charge refunded. It's a great system that guarantees the availability of quality parts and supports recycling efforts. For any further questions or assistance, feel free to ask!</p>",
Control Arms Master Rebuild Kit,"1941_Chrysler_Royal, 1941_Chrysler_Windsor, 1941_DeSoto_S-8, 1941_Plymouth_P11 Deluxe, 1941_Plymouth_P11 Standard, 1941_Plymouth_P12 Special Deluxe, 1942_Chrysler_Royal, 1942_Chrysler_Windsor, 1942_DeSoto_S-10, 1942_Dodge_Custom, 1942_Dodge_Deluxe, 1942_Plymouth_P14C Special Deluxe, 1942_Plymouth_P14S Deluxe, 1946_Chrysler_Royal, 1946_Chrysler_Windsor, 1946_DeSoto_S-11, 1946_Dodge_Deluxe, 1946_Dodge_Custom, 1946_Plymouth_P15 Deluxe, 1946_Plymouth_P15 Special Deluxe, 1947_Chrysler_Royal, 1947_Chrysler_Windsor, 1947_DeSoto_S-11, 1947_Dodge_Deluxe, 1947_Dodge_Custom, 1947_Plymouth_P15 Deluxe, 1947_Plymouth_P15 Special Deluxe, 1948_Chrysler_Royal,  1948_Chrysler_Windsor, 1948_DeSoto_S-11, 1948_Dodge_Deluxe, 1948_Dodge_Custom, 1948_Plymouth_P15 Deluxe, 1948_Plymouth_P15 Special Deluxe, 1949_Chrysler_Royal, 1949_Chrysler_Windsor, 1949_DeSoto_S-13, 1949_Dodge_Coronet, 1949_Dodge_Meadowbrook, 1949_Dodge_Wayfarer, 1949_Plymouth_Deluxe, 1949_Plymouth_Special Deluxe, 1949_Plymouth_Suburban, 1950_Chrysler_Royal, 1950_Chrysler_Windsor, 1950_DeSoto_S-14, 1950_Dodge_Coronet, 1950_Dodge_Meadowbrook, 1950_Dodge_Wayfarer, 1950_Plymouth_Deluxe, 1950_Plymouth_Special Deluxe, 1950_Plymouth_Suburban,  1951_Chrysler_Windsor, 1951_DeSoto_S-15, 1951_Dodge_Coronet, 1951_Dodge_Meadowbrook, 1951_Dodge_Wayfarer, 1951_Plymouth_Cambridge, 1951_Plymouth_Concord, 1951_Plymouth_Cranbrook, 1951_Plymouth_Deluxe, 1951_Plymouth_Suburban, 1952_Chrysler_Windsor, 1952_DeSoto_Firedome, 1952_DeSoto_S-15, 1952_Dodge_Coronet, 1952_Dodge_Meadowbrook, 1952_Dodge_Wayfarer, 1952_Plymouth_Cambridge, 1952_Plymouth_Concord, 1952_Plymouth_Cranbrook, 1952_Plymouth_Suburban, 1953_Chrysler_Windsor, 1953_DeSoto_Firedome, 1953_DeSoto_Powermaster, 1953_Dodge_Coronet, 1953_Dodge_Meadowbrook, 1953_Plymouth_Belvedere, 1953_Plymouth_Cambridge, 1953_Plymouth_Cranbrook, 1953_Plymouth_Savoy, 1953_Plymouth_Suburban, 1954_Chrysler_Windsor, 1954_DeSoto_Firedome, 1954_DeSoto_Powermaster, 1954_Dodge_Coronet, 1954_Dodge_Meadowbrook, 1954_Dodge_Royal, 1954_Plymouth_Belvedere, 1954_Plymouth_Plaza, 1954_Plymouth_Savoy, 1954_Plymouth_Suburban",Control Arms Master Rebuild Kit for 1941-1954 Mopar Cars,"Complete rebuild kit with shafts, pins, and bushings for upper and lower control arms on 1941-1954 Mopar 6-cylinder cars.","<p>This Control Arms Master Rebuild Kit is your go-to solution for revitalizing the front axle of your vintage and classic Mopar cars from 1941 to 1954. Designed for 6-cylinder models, it includes everything you need to service two upper and two lower control arms, ensuring your vehicle maintains its classic ride and handling. The kit is comprehensive, offering:</p><ul><li>All necessary shafts</li><li>Pins</li><li>Bushings</li></ul><p>Installation is straightforward for a seasoned enthusiast, but if you're new to this, consider this an opportunity to learn and preserve your classic ride's integrity. This kit fits a range of Chrysler, DeSoto, Dodge, and Plymouth models, making it a versatile choice for maintaining the authenticity and performance of your cherished vehicle.</p>",
Front Outer Wheel Bearing and Cup,"1928_Plymouth_Model Q, 1929_Plymouth_Model U, 1930_Plymouth_Model U, 1931_Plymouth_Model PA, 1932_Plymouth_Model PB, 1933_Plymouth_Model PD, 1933_Plymouth_Model PC, 1934_Plymouth_Standard PG Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Deluxe PE Model, 1935_Plymouth_Model PJ, 1935_Plymouth_Deluxe PJ Model, 1936_Plymouth_P2 Deluxe, 1936_Plymouth_P1 Business Line, 1937_Plymouth_P3, 1937_Plymouth_PT-50, 1937_Plymouth_P4, 1938_Plymouth_P5, 1938_Plymouth_PT-57, 1938_Plymouth_P6, 1939_Plymouth_PT-81, 1939_Plymouth_P8 Deluxe, 1939_Plymouth_P7 Roadking, 1940_Plymouth_PT-105, 1940_Plymouth_P9 Roadking, 1940_Plymouth_P10 Deluxe, 1941_Plymouth_PT-125, 1941_Plymouth_P12 Special Deluxe, 1941_Plymouth_P11 Standard, 1941_Plymouth_P11 Deluxe, 1942_Plymouth_P14S Deluxe, 1942_Plymouth_P14C Special Deluxe, 1946_Plymouth_P15 Special Deluxe, 1946_Plymouth_P15 Deluxe, 1947_Plymouth_P15 Special Deluxe, 1947_Plymouth_P15 Deluxe, 1948_Plymouth_P15 Special Deluxe, 1948_Plymouth_P15 Deluxe, 1929_DeSoto_Model K, 1930_DeSoto_Model CK, 1930_DeSoto_Model CF, 1931_DeSoto_Model SA, 1931_DeSoto_Model CK, 1931_DeSoto_Model CF, 1932_DeSoto_Model SC, 1932_DeSoto_Model SA, 1932_DeSoto_Model CF, 1933_DeSoto_Model SD, 1935_DeSoto_Airstream, 1936_DeSoto_Deluxe Airstream, 1937_DeSoto_S-3, 1937_DeSoto_S-3, 1938_DeSoto_S-5, 1939_DeSoto_S-6, 1940_DeSoto_S-7, 1941_DeSoto_S-8, 1942_DeSoto_S-10, 1946_DeSoto_S-11, 1947_DeSoto_S-11, 1948_DeSoto_S-11, 1930_Dodge_Series DC, 1930_Dodge_Series DA, 1930_Dodge_Series DD, 1930_Dodge_Series DB, 1931_Dodge_Series DD, 1931_Dodge_Series DH, 1931_Dodge_Series DC, 1931_Dodge_Series DG, 1932_Dodge_Series DL, 1932_Dodge_Series DM, 1933_Dodge_Deluxe, 1934_Dodge_Deluxe, 1935_Dodge_Cars DU DV & DV-6, 1937_Dodge_Cars D-5 D-6 & D-7, 1938_Dodge_Cars D-8 D-9 & D-10, 1939_Dodge_Cars D-11 D-12 & D-13, 1940_Dodge_Cars D-14 D-15 & D-17, 1941_Dodge_Deluxe, 1941_Dodge_Custom, 1942_Dodge_Deluxe, 1942_Dodge_Custom, 1946_Dodge_Deluxe, 1946_Dodge_Custom, 1947_Dodge_Deluxe, 1947_Dodge_Custom, 1948_Dodge_Deluxe, 1948_Dodge_Custom, 1929_Chrysler_Series 66, 1930_Chrysler_Series 66, 1931_Chrysler_Series 66, 1930_Chrysler_Series CJ, 1931_Chrysler_Series CJ, 1931_Chrysler_Series Six CM, 1930_Chrysler_Series Six, 1932_Chrysler_Series Six CM, 1932_Chrysler_Series CI, 1932_Chrysler_Series CI, 1933_Chrysler_Series CO, 1935_Chrysler_Airstream Series C-6, 1936_Chrysler_Airstream Series C-7, 1937_Chrysler_Royal, 1938_Chrysler_Royal, 1939_Chrysler_Royal Windsor, 1939_Chrysler_Royal, 1940_Chrysler_Windsor, 1940_Chrysler_Royal, 1941_Chrysler_Windsor, 1941_Chrysler_Royal, 1942_Chrysler_Windsor, 1942_Chrysler_Royal, 1946_Chrysler_Windsor, 1946_Chrysler_Royal Series, 1947_Chrysler_Windsor, 1947_Chrysler_Royal Series, 1948_Chrysler_Windsor, 1948_Chrysler_Royal Series, 1934_MOPAR_Trucks, 1935_MOPAR_Trucks, 1936_MOPAR_Trucks, 1937_MOPAR_Trucks, 1938_MOPAR_Trucks, 1939_MOPAR_Trucks, 1940_Dodge_1/2 Ton Truck, 1940_Dodge_3/4 Ton Truck, 1941_MOPAR_Trucks, 1942_MOPAR_Trucks, 1943_MOPAR_Trucks, 1944_MOPAR_Trucks, 1945_MOPAR_Trucks, 1946_Dodge_1/2 Ton Truck, 1946_Dodge_3/4 Ton Truck, 1946_Dodge_1 Ton Truck, 1947_Dodge_1/2 Ton Truck, 1947_Dodge_3/4 Ton Truck, 1947_Dodge_1 Ton Truck, 1948_Dodge_1/2 Ton Truck, 1948_Dodge_3/4 Ton Truck, 1949_Dodge_1/2 Ton Truck, 1949_Dodge_3/4 Ton Truck, 1950_Dodge_1/2 Ton Truck, 1950_Dodge_3/4 Ton Truck, 1951_Dodge_1/2 Ton Truck, 1951_Dodge_3/4 Ton Truck, 1952_Dodge_1/2 Ton Truck, 1952_Dodge_3/4 Ton Truck, 1953_Dodge_1/2 Ton Truck, 1953_Dodge_3/4 Ton Truck, 1954_Dodge_1/2 Ton Truck, 1954_Dodge_3/4 Ton Truck, 1955_Dodge_1/2 Ton Truck Truck, 1955_Dodge_3/4 Ton Truck, 1956_Dodge_1/2 Ton Truck, 1956_Dodge_3/4 Ton Truck",Front Outer Wheel Bearing and Cup for 1928-1956 Vintage & Classic Mopar Cars,"Ensure smooth wheel operation with this front outer wheel bearing and cup, fitting 1928-1956 Mopar vehicles, including Plymouth, DeSoto, Dodge, and Chrysler.","The Front Outer Wheel Bearing and Cup is crucial for maintaining the smooth rotation of your vehicle's wheels. This part fits a wide range of vintage and classic Mopar cars from 1928 through 1956, including Plymouth, DeSoto, Dodge, and Chrysler models. Crafted for durability, this bearing and cup set helps keep your wheels turning smoothly, reducing friction and wear. Installation is straightforward: simply replace the old bearing and cup with this new set to restore your car's wheel performance. Here’s what’s included:<ul><li>Front Outer Wheel Bearing</li><li>Wheel Bearing Cup</li></ul>","1 validation error for ProductSEOOutput
meta_title
  String should have at most 60 characters [type=string_too_long, input_value='Front Outer Wheel Bearin...ge & Classic Mopar Cars', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/string_too_long"
Differential Carrier Gasket,"1929_Chrysler_Series 66, 1928_Plymouth_Model Q, 1929_Plymouth_Model U, 1929_DeSoto_Model K,1930_Plymouth_Model U, 1930_DeSoto_Model K, 1930_DeSoto_Model CK, 1930_Chrysler_Series Six, 1930_Chrysler_Series 66, 1931_Plymouth_Model PA, 1931_DeSoto_Model SA, 1931_DeSoto_Model CK, 1931_Chrysler_Series CJ, 1931_Chrysler_Series 66, 1932_Plymouth_Model PB, 1932_DeSoto_Model SC, 1932_DeSoto_Model SA, 1933_Plymouth_Model PD, 1933_Plymouth_Model PC, 1933_Dodge_Truck, 1933_DeSoto_Model SD, 1933_Chrysler_Series CO, 1934_Plymouth_Standard PG Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Deluxe PE Model, 1933_Dodge_Deluxe, 1934_Dodge_Deluxe, 1934_DeSoto_Airflow, 1934_Chrysler_Series CB, 1934_Chrysler_Series CA, 1935_Chrysler_Airstream Series CZ, 1935_Plymouth_Model PJ, 1935_Plymouth_Deluxe PJ Model, 1935_Dodge_Truck, 1935_Dodge_Cars DU DV & DV-6, 1935_DeSoto_Airstream, 1935_DeSoto_Airflow III, 1935_DeSoto_Airflow, 1935_Chrysler_Airstream Series C-6, 1935_Chrysler_Airstream Deluxe Series CZ, 1936_Plymouth_P2 Deluxe, 1936_Plymouth_P1 Business Line, 1936_Dodge_Truck, 1936_Dodge_Cars D-2 D-3 & D-4, 1936_DeSoto_Deluxe Airstream, 1936_DeSoto_Airflow III, 1936_Chrysler_Airstream Series C-7, 1936_Chrysler_Airstream Deluxe Series C-8, 1937_Chrysler_Imperial, 1938_Chrysler_Imperial, 1938_Chrysler_New York Special, 1938_Chrysler_C19, 1939_Chrysler_Saratoga, 1939_Chrysler_New Yorker, 1939_Chrysler_Imperial, 1940_Chrysler_Traveler, 1940_Chrysler_Saratoga, 1940_Chrysler_New Yorker, 1941_Chrysler_Town & Country, 1941_Chrysler_Saratoga, 1941_Chrysler_New Yorker, 1942_Chrysler_Saratoga, 1942_Chrysler_New Yorker, 1946_Chrysler_Town & Country, 1946_Chrysler_Saratoga, 1946_Chrysler_New Yorker, 1947_Chrysler_Town & Country, 1947_Chrysler_Saratoga, 1947_Chrysler_New Yorker, 1948_Chrysler_Town & Country, 1948_Chrysler_Saratoga, 1948_Chrysler_New Yorker, 1949_Chrysler_Town & Country, 1949_Chrysler_Saratoga, 1949_Chrysler_New Yorker, 1949_Chrysler_Imperial, 1950_Chrysler_Town & Country, 1950_Chrysler_Saratoga, 1950_Chrysler_New Yorker, 1950_Chrysler_Imperial, 1951_Chrysler_Saratoga, 1951_Chrysler_New Yorker, 1952_Chrysler_Saratoga, 1952_Chrysler_New Yorker, 1952_Chrysler_Imperial, 1953_Chrysler_New Yorker, 1953_Chrysler_Imperial, 1954_Chrysler_New Yorker, 1954_Chrysler_Imperial, 1955_Chrysler_New Yorker, 1955_Chrysler_Imperial, 1955_Chrysler_300, 1956_Chrysler_New Yorker, 1956_Chrysler_Imperial, 1956_Chrysler_300, 1934_Dodge_Truck, 1935_Dodge_Truck, 1936_Dodge_Truck, 1952_DeSoto_Firedome, 1953_DeSoto_Firedome, 1954_DeSoto_Firedome, 1955_DeSoto_Fireflite, 1956_DeSoto_Fireflite, 1956_DeSoto_Adventurer",Differential Carrier Gasket for 1928-1956 Mopar Cars,"Ensure a snug fit with this high-quality differential carrier gasket for 1928-1956 Chrysler, Dodge, Plymouth & DeSoto vehicles. Easy installation.","The differential carrier gasket is crucial for sealing your vehicle's rear axle, preventing fluid leaks and ensuring smooth operation. Designed for a wide range of Vintage & Classic Mopar Cars from 1928 to 1956, this gasket provides a precise fit for Chrysler, DeSoto, Dodge, and Plymouth models. Installation is straightforward, making it an ideal repair for DIY enthusiasts or professionals.<ul><li>Chrysler: Series 66, Series Six, Imperial, Saratoga, New Yorker, Town & Country</li><li>DeSoto: Model K, Model SA, Airflow, Airstream</li><li>Plymouth: Model Q, Model U, Deluxe PJ, Standard PG</li><li>Dodge: Deluxe, Cars D-2 D-3 & D-4, Trucks</li></ul>",
"Brake Shoes and Lining Assemblies - 10"" x 1 1/2"" (4-Piece Set, Enough for One Axle) - Fits Front and Rear","1933_Dodge_Deluxe, 1933_Plymouth_Model PC, 1933_Plymouth_Model PD, 1934_Plymouth_Deluxe PE Model, 1934_Plymouth_Standard PF Model, 1934_Plymouth_Standard PG Model","Brake Shoes 10x1.5"" for 1933-1934 Dodge & Plymouth","Durable 10x1.5"" brake shoes for 1933-1934 Dodge & Plymouth. Perfect fit for front & rear. Ensure safe braking with this reliable set.","Keep your vintage Mopar car stopping safely and smoothly with this 4-piece set of brake shoes and lining assemblies, designed to fit 10"" x 1 1/2"" brake drums. These high-quality components are crucial for maintaining your vehicle's braking performance, whether installed on the front or rear axle. Double-check your drum size, especially if you have a 1934 model, as some used 10"" x 1.5"" or 10"" x 2"" brakes.<br><br>Applicable models include:<ul><li>1933 Dodge Deluxe</li><li>1933 Plymouth Model PC</li><li>1933 Plymouth Model PD</li><li>1934 Plymouth Deluxe PE Model</li><li>1934 Plymouth Standard PF Model</li><li>1934 Plymouth Standard PG Model</li></ul>",
"Clutch Disc - 9 1/4"" For Standard Transmission","1935_Plymouth_Deluxe PJ Model, 1935_Plymouth_Model PJ, 1936_Plymouth_P1 Business Line, 1936_Plymouth_P2 Deluxe, 1937_Plymouth_P4,  1937_Plymouth_P3, 1938_Plymouth_P6, 1938_Plymouth_P5, 1939_Plymouth_P7 Roadking, 1939_Plymouth_P8 Deluxe, 1940_Plymouth_P10 Deluxe, 1940_Plymouth_P9 Roadking, 1941_Plymouth_P11 Deluxe, 1941_Plymouth_P11 Standard, 1941_Plymouth_P12 Special Deluxe, 1942_Plymouth_P14C Special Deluxe, 1942_Plymouth_P14S Deluxe, 1946_Plymouth_P15 Deluxe, 1946_Plymouth_P15 Special Deluxe, 1947_Plymouth_P15 Deluxe, 1947_Plymouth_P15 Special Deluxe, 1948_Plymouth_P15 Deluxe, 1948_Plymouth_P15 Special Deluxe, 1949_Plymouth_Deluxe, 1949_Plymouth_Special Deluxe, 1949_Plymouth_Suburban, 1950_Plymouth_Deluxe, 1950_Plymouth_Special Deluxe, 1950_Plymouth_Suburban, 1951_Plymouth_Cambridge, 1951_Plymouth_Concord, 1951_Plymouth_Cranbrook, 1951_Plymouth_Deluxe, 1951_Plymouth_Suburban, 1952_Plymouth_Cambridge, 1952_Plymouth_Concord, 1952_Plymouth_Cranbrook, 1952_Plymouth_Suburban, 1953_Plymouth_Belvedere, 1953_Plymouth_Cambridge, 1953_Plymouth_Cranbrook, 1953_Plymouth_Savoy, 1953_Plymouth_Suburban, 1954_Plymouth_Belvedere, 1954_Plymouth_Plaza, 1954_Plymouth_Savoy, 1954_Plymouth_Suburban, 1955_Plymouth_Belvedere, 1955_Plymouth_Plaza, 1955_Plymouth_Savoy, 1955_Plymouth_Suburban, 1956_Plymouth_Belvedere, 1956_Plymouth_Fury, 1956_Plymouth_Plaza, 1956_Plymouth_Savoy, 1956_Plymouth_Suburban","Clutch Disc 9 1/4"" for 1935-1956 Plymouth Standard","Reliable 9 1/4"" clutch disc for classic Plymouth models '35-'56 with standard transmission. Ensures smooth operation and easy installation.","This 9 1/4"" clutch disc is perfect for your classic Plymouth with standard transmission. With its robust build, it ensures smooth operation and ease of installation. This new, fresh stock disc has a 1-inch center hole and 10 splines, making it a direct replacement for your worn-out part. <br/><br/>Compatible Models Include:<ul><li>1935 Plymouth Deluxe PJ Model</li><li>1935 Plymouth Model PJ</li><li>1936 Plymouth P1 Business Line</li><li>1936 Plymouth P2 Deluxe</li><li>1937 Plymouth P4</li><li>1937 Plymouth P3</li><li>1938 Plymouth P6</li><li>1938 Plymouth P5</li><li>1939 Plymouth P7 Roadking</li><li>1939 Plymouth P8 Deluxe</li><li>1940 Plymouth P10 Deluxe</li><li>1940 Plymouth P9 Roadking</li><li>1941 Plymouth P11 Deluxe</li><li>1941 Plymouth P11 Standard</li><li>1941 Plymouth P12 Special Deluxe</li><li>1942 Plymouth P14C Special Deluxe</li><li>1942 Plymouth P14S Deluxe</li><li>1946 Plymouth P15 Deluxe</li><li>1946 Plymouth P15 Special Deluxe</li><li>1947 Plymouth P15 Deluxe</li><li>1947 Plymouth P15 Special Deluxe</li><li>1948 Plymouth P15 Deluxe</li><li>1948 Plymouth P15 Special Deluxe</li><li>1949 Plymouth Deluxe</li><li>1949 Plymouth Special Deluxe</li><li>1949 Plymouth Suburban</li><li>1950 Plymouth Deluxe</li><li>1950 Plymouth Special Deluxe</li><li>1950 Plymouth Suburban</li><li>1951 Plymouth Cambridge</li><li>1951 Plymouth Concord</li><li>1951 Plymouth Cranbrook</li><li>1951 Plymouth Deluxe</li><li>1951 Plymouth Suburban</li><li>1952 Plymouth Cambridge</li><li>1952 Plymouth Concord</li><li>1952 Plymouth Cranbrook</li><li>1952 Plymouth Suburban</li><li>1953 Plymouth Belvedere</li><li>1953 Plymouth Cambridge</li><li>1953 Plymouth Cranbrook</li><li>1953 Plymouth Savoy</li><li>1953 Plymouth Suburban</li><li>1954 Plymouth Belvedere</li><li>1954 Plymouth Plaza</li><li>1954 Plymouth Savoy</li><li>1954 Plymouth Suburban</li><li>1955 Plymouth Belvedere</li><li>1955 Plymouth Plaza</li><li>1955 Plymouth Savoy</li><li>1955 Plymouth Suburban</li><li>1956 Plymouth Belvedere</li><li>1956 Plymouth Fury</li><li>1956 Plymouth Plaza</li><li>1956 Plymouth Savoy</li><li>1956 Plymouth Suburban</li></ul>",
