ID,Command,Title,Body HTML,Vendor,Tags,Tags Command,Category: ID,Category: Name,Category,Custom Collections,Smart Collections,Image Type,Image Src,Image Command,Image Position,Image Width,Image Height,Image Alt Text,Variant Inventory Item ID,Variant ID,Variant Command,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Position,Variant SKU,Variant Barcode,Variant Image,Variant Weight,Variant Weight Unit,Variant Price,Variant Compare At Price,Variant Taxable,Variant Tax Code,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Requires Shipping,Variant Inventory Qty,Variant Inventory Adjust,Variant Cost,Variant HS Code,Variant Country of Origin,Variant Province of Origin,Metafield: title_tag [string],Metafield: description_tag [string],Metafield: custom.engine_types [list.single_line_text_field],Metafield: mm-google-shopping.custom_product [boolean],Variant Metafield: mm-google-shopping.custom_label_4 [single_line_text_field],Variant Metafield: mm-google-shopping.custom_label_3 [single_line_text_field],Variant Metafield: mm-google-shopping.custom_label_2 [single_line_text_field],Variant Metafield: mm-google-shopping.custom_label_1 [single_line_text_field],Variant Metafield: mm-google-shopping.custom_label_0 [single_line_text_field],Variant Metafield: mm-google-shopping.size_system [single_line_text_field],Variant Metafield: mm-google-shopping.size_type [single_line_text_field],Variant Metafield: mm-google-shopping.mpn [single_line_text_field],Variant Metafield: mm-google-shopping.gender [single_line_text_field],Variant Metafield: mm-google-shopping.condition [single_line_text_field],Variant Metafield: mm-google-shopping.age_group [single_line_text_field],Variant Metafield: harmonized_system_code [string],Metafield: mm-google-shopping.mpn [single_line_text_field]
,MERGE,Accelerator Pedal Pad,"Pad, accelerator pedal. Cements and fastens with screws to original metal pedal. Length: 6.50 inches.",Steele,1928_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Accelerator Pedal Pad,,,MERGE,,,,,,,1,10-0001-40,,,,,75.49,,TRUE,,shopify,deny,manual,TRUE,0,,43.76,,,,Accelerator Pedal Pad,Quality automotive Accelerator Pedal Pad.,,,,,,,,,,10-0001-40,,new,,,10-0001-40
,MERGE,Accelerator Pedal Pad,"Pad, accelerator pedal. Cements and fastens with screws to original metal pedal. Length: 6.50 inches.",Steele,1929_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Accelerator Pedal Pad,,,MERGE,,,,,,,1,10-0001-40,,,,,75.49,,TRUE,,shopify,deny,manual,TRUE,0,,43.76,,,,Accelerator Pedal Pad,Quality automotive Accelerator Pedal Pad.,,,,,,,,,,10-0001-40,,new,,,10-0001-40
,MERGE,Accelerator Pedal Pad,"Pad, accelerator pedal. Cements and fastens with screws to original metal pedal. Length: 6.50 inches.",Steele,1930_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Accelerator Pedal Pad,,,MERGE,,,,,,,1,10-0001-40,,,,,75.49,,TRUE,,shopify,deny,manual,TRUE,0,,43.76,,,,Accelerator Pedal Pad,Quality automotive Accelerator Pedal Pad.,,,,,,,,,,10-0001-40,,new,,,10-0001-40
,MERGE,Accelerator Pedal Pad,"Pad, accelerator pedal. Cements and fastens with screws to original metal pedal. Length: 6.50 inches.",Steele,1931_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Accelerator Pedal Pad,,,MERGE,,,,,,,1,10-0001-40,,,,,75.49,,TRUE,,shopify,deny,manual,TRUE,0,,43.76,,,,Accelerator Pedal Pad,Quality automotive Accelerator Pedal Pad.,,,,,,,,,,10-0001-40,,new,,,10-0001-40
,MERGE,Accelerator Pedal Pad,"Pad, accelerator pedal. Cements and fastens with screws to original metal pedal. Length: 6.50 inches.",Steele,1932_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Accelerator Pedal Pad,,,MERGE,,,,,,,1,10-0001-40,,,,,75.49,,TRUE,,shopify,deny,manual,TRUE,0,,43.76,,,,Accelerator Pedal Pad,Quality automotive Accelerator Pedal Pad.,,,,,,,,,,10-0001-40,,new,,,10-0001-40
,MERGE,Axle Rebound Pad,"Pad, front axle rebound, including bolt hole. Excellent copy, highest grade material. Width: 2.25 inches. Height: 1.50 inches.",Steele,1930_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Axle Rebound Pad,,,MERGE,,,,,,,1,10-0002-35,,,,,127.79,,TRUE,,shopify,deny,manual,TRUE,0,,81.97,,,,Axle Rebound Pad,Quality automotive Axle Rebound Pad.,,,,,,,,,,10-0002-35,,new,,,10-0002-35
,MERGE,Axle Rebound Pad,"Pad, front axle rebound, including bolt hole. Excellent copy, highest grade material. Width: 2.25 inches. Height: 1.50 inches.",Steele,1931_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Axle Rebound Pad,,,MERGE,,,,,,,1,10-0002-35,,,,,127.79,,TRUE,,shopify,deny,manual,TRUE,0,,81.97,,,,Axle Rebound Pad,Quality automotive Axle Rebound Pad.,,,,,,,,,,10-0002-35,,new,,,10-0002-35
,MERGE,Axle Rebound Pad,"Pad, front axle rebound, including bolt hole. Excellent copy, highest grade material. Width: 2.25 inches. Height: 1.50 inches.",Steele,1932_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Axle Rebound Pad,,,MERGE,,,,,,,1,10-0002-35,,,,,127.79,,TRUE,,shopify,deny,manual,TRUE,0,,81.97,,,,Axle Rebound Pad,Quality automotive Axle Rebound Pad.,,,,,,,,,,10-0002-35,,new,,,10-0002-35
,MERGE,Axle Rebound Pad,"Pad, front axle rebound, including bolt hole. Excellent copy, highest grade material. Width: 2.25 inches. Height: 1.50 inches.",Steele,1933_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Axle Rebound Pad,,,MERGE,,,,,,,1,10-0002-35,,,,,127.79,,TRUE,,shopify,deny,manual,TRUE,0,,81.97,,,,Axle Rebound Pad,Quality automotive Axle Rebound Pad.,,,,,,,,,,10-0002-35,,new,,,10-0002-35
,MERGE,Axle Rebound Pad Service,"Pad, rear axle rebound, perfect duplication. Length: 4.0 inches. Height: 1.25 inches.",Steele,1930_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Axle Rebound Pad Service,,,MERGE,,,,,,,1,10-0003-35,,,,,132.49,,TRUE,,shopify,deny,manual,TRUE,0,,84.5,,,,Axle Rebound Pad Service,Quality automotive Axle Rebound Pad Service.,,,,,,,,,,10-0003-35,,new,,,10-0003-35
,MERGE,Axle Rebound Pad Service,"Pad, rear axle rebound, perfect duplication. Length: 4.0 inches. Height: 1.25 inches.",Steele,1931_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Axle Rebound Pad Service,,,MERGE,,,,,,,1,10-0003-35,,,,,132.49,,TRUE,,shopify,deny,manual,TRUE,0,,84.5,,,,Axle Rebound Pad Service,Quality automotive Axle Rebound Pad Service.,,,,,,,,,,10-0003-35,,new,,,10-0003-35
,MERGE,Axle Rebound Pad Service,"Pad, rear axle rebound, perfect duplication. Length: 4.0 inches. Height: 1.25 inches.",Steele,1932_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Axle Rebound Pad Service,,,MERGE,,,,,,,1,10-0003-35,,,,,132.49,,TRUE,,shopify,deny,manual,TRUE,0,,84.5,,,,Axle Rebound Pad Service,Quality automotive Axle Rebound Pad Service.,,,,,,,,,,10-0003-35,,new,,,10-0003-35
,MERGE,Axle Rebound Pad Service,"Pad, rear axle rebound, perfect duplication. Length: 4.0 inches. Height: 1.25 inches.",Steele,1933_Stutz_Stutz,MERGE,,,,Accessories,,,,MERGE,1,,,Axle Rebound Pad Service,,,MERGE,,,,,,,1,10-0003-35,,,,,132.49,,TRUE,,shopify,deny,manual,TRUE,0,,84.5,,,,Axle Rebound Pad Service,Quality automotive Axle Rebound Pad Service.,,,,,,,,,,10-0003-35,,new,,,10-0003-35
,MERGE,Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1930_Durant_Model_6-14,MERGE,,,,Accessories,,,,MERGE,1,,,Fuel tank cover,,,MERGE,,,,,,,1,10-0010-44,,,,,85.99,,TRUE,,shopify,deny,manual,TRUE,0,,50.35,,,,Fuel tank cover,Quality automotive Fuel tank cover.,,,,,,,,,,10-0010-44,,new,,,10-0010-44
,MERGE,Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1930_Durant_Model_6-14,MERGE,,,,Accessories,,,,MERGE,1,,,Fuel tank cover,,,MERGE,,,,,,,1,10-0010-44,,,,,85.99,,TRUE,,shopify,deny,manual,TRUE,0,,50.35,,,,Fuel tank cover,Quality automotive Fuel tank cover.,,,,,,,,,,10-0010-44,,new,,,10-0010-44
,MERGE,Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1930_Durant_Model_6-14,MERGE,,,,Accessories,,,,MERGE,1,,,Fuel tank cover,,,MERGE,,,,,,,1,10-0010-44,,,,,85.99,,TRUE,,shopify,deny,manual,TRUE,0,,50.35,,,,Fuel tank cover,Quality automotive Fuel tank cover.,,,,,,,,,,10-0010-44,,new,,,10-0010-44
,MERGE,Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1930_Durant_Model_6-14,MERGE,,,,Accessories,,,,MERGE,1,,,Fuel tank cover,,,MERGE,,,,,,,1,10-0010-44,,,,,85.99,,TRUE,,shopify,deny,manual,TRUE,0,,50.35,,,,Fuel tank cover,Quality automotive Fuel tank cover.,,,,,,,,,,10-0010-44,,new,,,10-0010-44
,MERGE,Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1930_Durant_Model_6-17,MERGE,,,,Accessories,,,,MERGE,1,,,Fuel tank cover,,,MERGE,,,,,,,1,10-0010-44,,,,,85.99,,TRUE,,shopify,deny,manual,TRUE,0,,50.35,,,,Fuel tank cover,Quality automotive Fuel tank cover.,,,,,,,,,,10-0010-44,,new,,,10-0010-44
,MERGE,Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1930_Durant_Model_6-17,MERGE,,,,Accessories,,,,MERGE,1,,,Fuel tank cover,,,MERGE,,,,,,,1,10-0010-44,,,,,85.99,,TRUE,,shopify,deny,manual,TRUE,0,,50.35,,,,Fuel tank cover,Quality automotive Fuel tank cover.,,,,,,,,,,10-0010-44,,new,,,10-0010-44
,MERGE,Fuel tank cover,"Cover, rear apron over fuel tank. 3-1/2-inch diameter hollow cup to cover hole above fuel gauge sending unit.",Steele,1929_Chrysler_Series_65,MERGE,,,,Accessories,,,,MERGE,1,,,Fuel tank cover,,,MERGE,,,,,,,1,10-0010-44,,,,,85.99,,TRUE,,shopify,deny,manual,TRUE,0,,50.35,,,,Fuel tank cover - 1929 Chrysler Series 65,Quality Fuel tank cover for 1929 Chrysler Series 65 vehicles. OEM replacement part.,,,,,,,,,,10-0010-44,,new,,,10-0010-44
