Inventory ID,Description, Level-3 
PLY-CON-225,64/65 Plymouth B-Body Automatic Shifter Slide Insert ABS Plastic, $ 9.10 
PLY-FAS-010,34/64 Plymouth Glove Box Screw Kit 10pc, $ 2.50 
PLY-FWP-075,62/65 B-Body Heater Delete Firewall Pad Section, $ 22.50 
PLY-HIC-035,72/89 Pack of 22 Plymouth Plastic Hood Insulation Clips, $ 8.00 
PLY-HIC-040,72/89 Plymouth Hood Insulation Clip Plastic, $ 0.50 
PLY-KPN-040,39 Plymouth Sedan Kick Panels w/Binding, $ 26.10 
PLY-MIS-590,63 Plymouth Pushbutton Transmission Dust cover 1pc, $ 9.00 
PLY-PTI-215,63 Plymouth 2 Door Sedan Package Tray Insulation (Tar-Felt Material), $ 11.70 
PLY-PTI-220,64/65 Plymouth 2 Door Hardtop Package Tray Insulation (Tar-Felt Material), $ 11.70 
PLY-PTI-225,64/65 Plymouth 2&4 Door Sedan Package Tray Insulation (Tar-Felt Material), $ 11.70 
PLY-SLP-200,62 Plymouth 2 Door Sedan Sail Panel Boards Plain, $ 13.60 
PLY-SLP-215,64/65 Plymouth 2 Door Sedan Sail Panel Boards Plain, $ 13.60 
PLY-STC-028,62/74 Loose Fit Spare Tire Cover Rubber Tan Plaid w/Panelboard Circle, $ 37.20 
PLY-TMT-066,49/50 Plymouth Convertible Trunk Mat Brown Tweed, $ 96.10 
