Car Added,WooCommerce Autos DB ID,Base Car ID,Exp. Car ID,Year Min,Year Max,Parent Manufacturer,Make|Include,Model|Include,VehicleTypeName,Region|Include,Sub Model|Include,Wheelbase|Include,Transmission Type|Include,Transmission Num Speeds|Include,Transmission Control Type|Include,Transmission Mfr Code|Include,Transmission Elec Controlled|Include,Transmission Mfr|Include,Steering Type|Include,Steering System ID|Include,Front Spring Type|Include,Rear Spring Type|Include,Mfr Body Code|Include,Drive Type|Include,Liter|Include,CC|Include,CID|Include,Cylinders|Include,BInlineock Type|IncInlineude,Engine Bore In|Include,Engine Bore Metric|Include,Engine Stroke In|Include,Engine Stroke Metric|Include,Engine Designation|Include,Engine VIN|Include,Valves|Include,Fuel Delivery Type|Include,Fuel Delivery SubType|Include,Fuel System Control Type|Include,Fuel System Design|Include,Aspiration|Include,Cylinder Head Type|Include,Fuel Type|Include,Ignition System|Include,Engine Mfr|Include,Engine Version|Include,Power Output|Include,Body Num Doors|Include,Types|Include,Bed Lengths|Include,Bed Types|Include,Front|Include,Rear|Include,ABS|Include,Brake System|Include,Asset Name,Asset Item Ref,Reference,Engine Tag,Engine Human Readable
,,,1925_Chrysler_Model B-70,1925,1925,,Chrysler,Model B-70,Car,USA,Base,,,,,,,,,,,,,,,,201,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201_Inline_6,201 CID Inline 6 
,,,1926_Chrysler_Series G-70,1926,1926,,Chrysler,Series G-70,Car,USA,Base,,,,,,,,,,,,,,,,219,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219_Inline_6,219 CID Inline 6 
,,,1926_Chrysler_Series E-80,1926,1926,,Chrysler,Series E-80,Car,USA,Base,,,,,,,,,,,,,,,,288,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288_Inline_6,288 CID Inline 6 
,,,1926_Chrysler_Series 60,1926,1926,,Chrysler,Series 60,Car,USA,Base,,,,,,,,,,,,,,,,180,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180_Inline_6,180 CID Inline 6 
,,,1926_Chrysler_Series 58,1926,1926,,Chrysler,Series 58,Car,USA,Base,,,,,,,,,,,,,,,,186,4,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186_Inline_4,186 CID Inline 4 
,,,1927_Chrysler_Series I-50,1927,1927,,Chrysler,Series I-50,Car,USA,Base,,,,,,,,,,,,,,,,170,4,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170_Inline_4,170 CID Inline 4 
,,,1927_Chrysler_Series H-60,1927,1927,,Chrysler,Series H-60,Car,USA,Base,,,,,,,,,,,,,,,,180,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180_Inline_6,180 CID Inline 6 
,,,1927_Chrysler_Series Finer 70,1927,1927,,Chrysler,Series Finer 70,Car,USA,Base,,,,,,,,,,,,,,,,219,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219_Inline_6,219 CID Inline 6 
,,,1927_Chrysler_Series E-80 Imperial,1927,1927,,Chrysler,Series E-80 Imperial,Car,USA,Base,,,,,,,,,,,,,,,,289,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289_Inline_6,289 CID Inline 6 
,,1979_Plymouth_Volare,1979_Plymouth_Volare_3.7L_4 Dr. Sedan_6,1979,1979,,Plymouth,Volare,Car,CAN,Base,,,,,,,,,,,,4 Dr. Sedan,,3.7,3687,225,6,Inline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225_Inline_6,225 CID Inline 6 
